wordID,displayWordSeq,displayCol,pixelX,wordState,displayString,"inChainList",aligned,void,stretch
128,0,0,182.00,0,..,"{}",1,0,0
129,1,1,282.00,0,Smart,"{}",1,0,0
130,2,2,382.00,0,ass,"{}",1,0,0
131,3,3,482.00,0,.,"{}",1,0,0
132,0,0,182.00,0,..,"{}",1,0,0
133,1,1,282.00,0,{KISS},"{}",1,0,0
134,0,0,182.00,0,..,"{}",1,0,0
135,1,1,282.00,0,Smart,"{}",1,0,0
136,2,2,382.00,0,ass,"{}",1,0,0
137,3,3,482.00,0,.,"{}",1,0,0
138,0,0,182.00,0,Alright,"{}",1,0,0
139,1,1,282.00,0,.,"{}",1,0,0
140,0,0,182.00,0,...,"{}",1,0,0
141,0,0,182.00,0,Wow,"{}",1,0,0
142,1,1,282.00,0,.,"{}",1,0,0
143,0,0,182.00,0,Who,"{}",1,0,0
144,1,1,282.00,0,took,"{}",1,0,0
145,2,2,382.00,0,over,"{}",1,0,0
146,3,3,482.00,0,uh,"{}",1,0,0
147,4,4,582.00,0,",","{}",1,0,0
148,0,0,182.00,0,..,"{}",1,0,0
149,1,1,282.00,0,Oh,"{}",1,0,0
150,2,2,382.00,0,.,"{}",1,0,0
151,0,0,182.00,0,They,"{}",1,0,0
152,1,1,282.00,0,got,"{}",1,0,0
153,2,2,382.00,0,North,"{}",1,0,0
154,3,3,482.00,0,America,"{}",1,0,0
155,4,4,582.00,0,.,"{}",1,0,0
156,0,0,182.00,0,But,"{}",1,0,0
157,1,1,282.00,0,..,"{}",1,0,0
158,2,2,382.00,0,not,"{}",1,0,0
159,3,3,482.00,0,for,"{}",1,0,0
160,4,4,582.00,0,lo:ng,"{}",1,0,0
161,5,5,682.00,0,.,"{}",1,0,0
162,0,0,182.00,0,...,"{}",1,0,0
163,1,1,282.00,0,Oh:,"{}",1,0,0
164,2,2,382.00,0,",","{}",1,0,0
165,0,0,182.00,0,[#my,"{}",1,0,0
166,1,1,282.00,0,|#God],"{}",1,0,0
167,2,2,382.00,0,.,"{}",1,0,0
168,0,0,182.00,0,[{WHISTLE}],"{}",1,0,0
169,0,0,182.00,0,..,"{}",1,0,0
170,1,1,282.00,0,Oh,"{}",1,0,0
171,2,2,382.00,0,my,"{}",1,0,0
172,3,3,482.00,0,God,"{}",1,0,0
173,4,4,582.00,0,",","{}",1,0,0
174,0,0,182.00,0,did,"{}",1,0,0
175,1,1,282.00,0,you,"{}",1,0,0
176,2,2,382.00,0,[see,"{}",1,0,0
177,3,3,482.00,0,|that],"{}",1,0,0
178,4,4,582.00,0,?,"{}",1,0,0
179,0,0,182.00,0,[Because,"{}",1,0,0
180,1,1,282.00,0,|player],"{}",1,0,0
181,2,2,382.00,0,thr-,"{}",1,0,0
182,3,3,482.00,0,--,"{}",1,0,0
183,0,0,182.00,0,..,"{}",1,0,0
184,1,1,282.00,0,player,"{}",1,0,0
185,2,2,382.00,0,three,"{}",1,0,0
186,3,3,482.00,0,is,"{}",1,0,0
