wordID,unitID,wordSeq,wordToken,wordTranscript
1,1,0, ,...
2,1,1,Excuse,Excuse
3,1,2,me,me
4,1,3, ,.
5,2,0, ,...
6,2,1,BARK,{BARK}
7,3,0, ,...
8,3,1,Hey,Hey
9,3,2, ,","
10,4,0,how,how
11,4,1,are,are
12,4,2,you,you
13,4,3,guy,guy
14,4,4, ,?
15,5,0, ,...
16,5,1,Are,Are
17,5,2,you,you
18,5,3,Larry,~Larry
19,5,4, ,?
20,6,0, ,...
21,6,1,Are,Are
22,6,2,you,you
23,6,3,Larry,~Larry
24,6,4, ,?
25,7,0, ,...
26,7,1,Yes,Yes
27,7,2, ,.
28,8,0,How,[How
29,8,1,are,|are
30,8,2,you,|you]
31,8,3, ,.
32,9,0,Are,[Are
33,9,1,you,|you]
34,9,2, ,--
35,10,0, ,..
36,10,1,You're,You're
37,10,2,the,the
38,10,3,guy,guy
39,10,4, ,.
40,11,0, ,...
41,11,1,Hunh,Hunh:
42,11,2, ,?
43,12,0, ,..
44,12,1,You're,You're
45,12,2,the,the
46,12,3,guy,guy
47,12,4,to,to
48,12,5,talk,talk
49,12,6,to,to
50,12,7,then,then
51,12,8, ,.
52,13,0,I'm,I'm
53,13,1,the,the
54,13,2,guy,guy
55,13,3, ,.
56,14,0,Yeah,[Yeah]
57,14,1, ,.
58,15,0, ,[@@]
59,16,0,I,I
60,16,1,didn't,didn't
61,16,2,know,know
62,16,3,if,if
63,16,4,I,I
64,16,5,had,had
65,16,6,the,the
66,16,7,right,right
67,16,8,place,place
68,16,9, ,.
69,17,0, ,..
70,17,1,Yeah,Yeah
71,17,2, ,","
72,18,0,you,you
73,18,1,got,got
74,18,2,it,it
75,18,3, ,@
76,18,4, ,.
77,19,0, ,..
78,19,1,I,I
79,19,2,just,just
80,19,3, ,--
81,20,0, ,...
82,20,1,What,What
83,20,2,are,are
84,20,3,you,you
85,20,4,doing,doing
86,20,5,there,there
87,20,6, ,.
88,21,0,You're,You're
89,21,1,probably,probably
90,21,2,trying,trying
91,21,3,t,t-
92,21,4, ,@
93,21,5, ,--
94,22,0, ,..
95,22,1,Yeah,Yeah
96,22,2,this,this
97,22,3,is,is
98,22,4,strange,strange
99,22,5, ,","
100,23,0,what's,what's
101,23,1,this,this
102,23,2,guy,[guy]
103,23,3,doing,doing
104,23,4, ,.
105,24,0, ,[@@]
106,25,0, ,..
107,25,1,I'm,I'm
108,25,2,putting,putting
109,25,3,water,water
110,25,4,in,in
111,25,5,a,a
112,25,6, ,...
113,25,7,twentysix,#twenty-six
114,25,8,gallon,gallon
115,25,9,container,container
116,25,10, ,","
117,26,0,inside,inside
118,26,1,my,my
119,26,2, ,...
120,26,3,truck,truck
121,26,4, ,.
122,27,0,BARK,{BARK}
123,28,0, ,...
124,28,1,Wow,Wow
125,28,2, ,.
126,29,0, ,..
127,29,1,That's,[That's
128,29,2,quite,|quite
129,29,3,a,|a
130,29,4,p,|p-]
131,29,5, ,--
132,30,0,Cause,[Cause
133,30,1,I,|I
134,30,2,had,|had
135,30,3,to,|to]
136,30,4,haul,haul
137,30,5,it,it
138,30,6,to,to
139,30,7,a,a
140,30,8,property,property
141,30,9, ,","
142,31,0,which,which
143,31,1,doesn't,doesn't
144,31,2,have,have
145,31,3,any,any
146,31,4,water,water
147,31,5, ,","
148,32,0, ,..
149,32,1,and,and
150,32,2,I,I
151,32,3,have,have
152,32,4,to,to
153,32,5,spray,spray
154,32,6,the,the
155,32,7,road,road
156,32,8, ,.
157,33,0, ,..
158,33,1,Ah,Ah:
159,33,2, ,.
160,34,0, ,..
161,34,1, ,@@
162,35,0, ,...
163,35,1,Cause,[Cause
164,35,2,the,|the
165,35,3,road,|road]
166,35,4, ,..
167,35,5,before,before
168,35,6, ,..
169,35,7,you,you
170,35,8,can,can
171,35,9,drive,drive
172,35,10,on,on
173,35,11,it,it
174,35,12, ,","
175,36,0,Interesting,[Interesting]
176,36,1, ,.
177,37,0,it,it
178,37,1,needs,needs
179,37,2, ,...
180,37,3,more,more
181,37,4,uh,uh
182,37,5, ,--
183,38,0, ,...
184,38,1,more,more
185,38,2, ,...
186,38,3,stability,stability
187,38,4, ,.
188,39,0, ,...
189,39,1,Evidently,Evidently
190,39,2, ,.
191,40,0, ,...
192,40,1,So,So
193,40,2,give,give
194,40,3,me,me
195,40,4,one,one
196,40,5,second,second
197,40,6,to,to
198,40,7,lock,lock
199,40,8,this,this
200,40,9,thing,thing
201,40,10, ,","
202,41,0,and,[and
203,41,1,then,|then
204,41,2, ,|##]
205,41,3, ,","
206,42,0,Is,[Is
207,42,1,that,|that
208,42,2,to,|to
209,42,3,keep,|keep
210,42,4,the,|the]
211,42,5,dust,dust
212,42,6, ,","
213,43,0, ,..
214,43,1,keep,keep
215,43,2,the,the
216,43,3,dust,dust
217,43,4,down,down
218,43,5, ,?
219,44,0, ,...
220,44,1,well,well
221,44,2, ,","
222,45,0,no,no
223,45,1, ,","
224,46,0, ,..
225,46,1,it's,it's
226,46,2,not,not
227,46,3,that,that
228,46,4,so,so
229,46,5,much,much
230,46,6, ,","
231,47,0,it's,it's
232,47,1,uh,uh
233,47,2, ,","
234,49,0,they,they
235,49,1,put,put
236,49,2, ,","
237,50,0, ,...
238,50,1,they,they
239,50,2,put,put
240,50,3,a,a:
241,50,4,uh,uh
242,50,5, ,","
243,51,0, ,...
244,51,1,a,a
245,51,2,type,type
246,51,3,of,of
247,51,4,uh,uh
248,51,5, ,..
249,51,6,base,base
250,51,7,on,on
251,51,8,it,it
252,51,9,that,that
253,51,10,needs,needs
254,51,11,water,water
255,51,12,and,and
256,51,13, ,","
257,52,0,BARK,{BARK}
258,53,0, ,...
259,53,1,that,that
260,53,2,just,just
261,53,3,hasn't,hasn't
262,53,4,happened,happened
263,53,5,yet,yet
264,53,6, ,.
265,54,0, ,...
266,54,1,Oh,[Oh]
267,54,2, ,","
268,55,0, ,[#]
269,55,1, ,--
270,56,0,I,I
271,56,1,see,see
272,56,2, ,.
273,57,0, ,...
274,57,1,So,So
275,57,2,there's,there's
276,57,3,some,some
277,57,4,chemical,chemical
278,57,5,reaction,reaction
279,57,6,that,that
280,57,7,has,has
281,57,8,to,to
282,57,9,take,take
283,57,10,place,[place]
284,57,11, ,","
285,58,0,Yeah,[Yeah]
286,58,1, ,.
287,59,0, ,..
288,59,1,I,I
289,59,2,guess,guess
290,59,3, ,...
291,59,4,a,a
292,59,5,good,good
293,59,6,a,a-
294,59,7, ,...
295,59,8,analogy,analogy
296,59,9, ,.
297,60,0,BARK,{BARK}
298,61,0, ,...
299,61,1,Chelsea,#*Chelsea
300,61,2, ,","
301,62,0,no,no
302,62,1, ,.
303,63,0, ,...
304,63,1,BARK,{BARK}
305,64,0, ,..
306,64,1,That,That
307,64,2,should,should
308,64,3,hold,hold
309,64,4,it,it
310,64,5,in,in
311,64,6,there,there
312,64,7, ,.
313,65,0, ,...
314,65,1,Okay,Okay
315,65,2, ,.
316,66,0, ,...
317,66,1,Nice,[Nice
318,66,2,to,|to
319,66,3,meet,|meet
320,66,4,you,|you]
321,66,5, ,.
322,67,0,How,[How
323,67,1,you,|you
