wordID,unitID,wordSeq,wordToken,wordTranscript
1,1,0, ,...
2,1,1,Here's,Here's
3,1,2,a,a
4,1,3,nice,nice
5,1,4,place,place
6,1,5,to,to
7,1,6,put,put
8,1,7,my,my
9,1,8,shoes,shoe[s]
10,1,9, ,.
11,2,0,Yeah,[Yeah]:
12,2,1,there,there
13,2,2,it,it
14,2,3,is,is
15,2,4, ,.
16,3,0, ,...
17,3,1,Mom,Mom
18,3,2,look,look
19,3,3, ,.
20,4,0,Unhunh,Unhunh
21,4,1,what,what
22,4,2, ,.
23,5,0,Look,Look
24,5,1,at,at
25,5,2,my,my
26,5,3,shoes,shoes
27,5,4, ,.
28,6,0, ,...
29,6,1, ,@
30,7,0,They,They
31,7,1,look,look
32,7,2,like,like
33,7,3,the,the
34,7,4,phantom,phantom
35,7,5,stairsteppers,stairsteppers.
36,7,6, ,-.
37,8,0,Hunh,Hunh
38,8,1, ,.
39,9,0, ,...
40,9,1,Nono,"Nono,"
41,9,2, ,"-,"
42,10,0,it,it
43,10,1,looks,looks
44,10,2,like,like
45,10,3,the,the
46,10,4,Invisible,Invisible
47,10,5,Man,Man
48,10,6, ,.
49,11,0,It,@It
50,11,1,does,does
51,11,2,look,look
52,11,3,like,like
53,11,4,the,the
54,11,5,Invisible,Invisible
55,11,6,Man,Man
56,11,7, ,.
57,12,0, ,...
58,12,1,Ohho,%Oh-ho
59,12,2,burp,burp
60,12,3, ,.
61,13,0,That,That
62,13,1,felt,felt
63,13,2,good,[good]
64,13,3, ,.
65,14,0,Wasn't,[Wasn't]
66,14,1,there,there
67,14,2,a,a
68,14,3,guy,guy
69,14,4,called,called
70,14,5,the,the
71,14,6,Invisible,Invisible
72,14,7,Man,Man
73,14,8, ,?
74,15,0,Yes,Yes
75,15,1,there,there
76,15,2,was,was
77,15,3, ,.
78,16,0, ,...
79,16,1,Was,Was
80,16,2,he,he
81,16,3,in,in
82,16,4,a,a
83,16,5,movie,movie
84,16,6, ,?
85,17,0, ,..
86,17,1,Yes,Yes:
87,17,2,he,he
88,17,3,was,was
89,17,4, ,.
90,18,0, ,...
91,18,1,What,What
92,18,2,was,was
93,18,3,it,it
94,18,4,called,called
95,18,5, ,.
96,19,0, ,...
97,19,1,The,The
98,19,2,Invisible,Invisible
99,19,3,Man,Man
100,19,4, ,.
101,20,0, ,...
102,20,1, ,@
103,20,2, ,@
104,21,0,It,It
105,21,1,was,was
106,21,2,kind,kind
107,21,3,of,of
108,21,4,a,a
109,21,5,show,show
110,21,6,kinda,kinda
111,21,7,like,like
112,21,8,The,The
113,21,9,Shadow,Shadow
114,21,10,was,was
115,21,11, ,.
116,22,0,You,You
117,22,1,know,know
118,22,2,it,it
119,22,3,was,was
120,22,4,a,a
121,22,5, ,","
122,23,0, ,...
123,23,1,Actually,Actually
124,23,2,though,though
125,23,3, ,","
126,24,0,I,I
127,24,1,think,think
128,24,2,they,they
129,24,3,made,made
130,24,4,a,a
131,24,5,remake,remake
132,24,6,of,of
133,24,7,it,it
134,24,8, ,","
135,25,0,with,with
136,25,1,Chevy,Chevy
137,25,2,Chase,Chase
138,25,3, ,","
139,26,0,that,that
140,26,1,was,was
141,26,2,really,really
142,26,3,lousy,lousy
143,26,4,though,though
144,26,5, ,.
145,27,0, ,..
146,27,1,Steven,~Steven
147,27,2, ,.
148,28,0,You,You
149,28,1,know,know
150,28,2,what,what
151,28,3,you,you
152,28,4,could,could
153,28,5,do,do
154,28,6, ,","
155,29,0,that,that
156,29,1,would,would
157,29,2,be,be
158,29,3,just,just
159,29,4, ,..
160,29,5,really,really
161,29,6,helpful,helpful
162,29,7, ,?
163,30,0, ,...
164,30,1,Say,Say
165,30,2,it,it
166,30,3, ,.
167,31,0, ,..
168,31,1, ,@
169,31,2, , 
170,32,0,You,You
171,32,1,could,could
172,32,2,p,p-
173,32,3,take,take
174,32,4,these,these
175,32,5,Coke,Coke
176,32,6,cans,cans
177,32,7, ,","
178,33,0, ,...
179,33,1,and,and
180,33,2,put,put
181,33,3,them,them
182,33,4,in,in
183,33,5,the,the
184,33,6,bag,bag
185,33,7,full,full
186,33,8,of,of
187,33,9,Coke,Coke
188,33,10,cans,cans
189,33,11,that,that
190,33,12,are,are
191,33,13,in,in
192,33,14,your,your
193,33,15,bedroom,bedroom
194,33,16, ,","
195,34,0, ,...
196,34,1,and,and
197,34,2,then,then
198,34,3,we,we
199,34,4,can,can
200,34,5,do,do
201,34,6,can,can
202,34,7,squish,squish
203,34,8, ,.
204,35,0,And,And
205,35,1,squish,squish
206,35,2,em,em
207,35,3, ,.
208,36,0,For,For
209,36,1,the,the
210,36,2,recycling,recycling
211,36,3,bin,bin
212,36,4, ,.
213,37,0, ,...
214,37,1,Okay,Ok[ay]
215,37,2, ,?
