wordID,unitID,wordSeq,wordToken,wordTranscript
1,1,0,Okay,[Okay]
2,1,1, ,.
3,2,0,Do,[Do
4,2,1,you,|you
5,2,2,have,|have
6,2,3,a,|a
7,2,4,particular,|par]ticular
8,2,5, ,","
9,3,0,um,um
10,3,1, ,","
11,4,0, ,..
12,4,1,use,[use
13,4,2,for,|for
14,4,3,the,|the]
15,4,4,red,red
16,4,5,peppers,peppers
17,4,6, ,","
18,5,0, ,[###
19,5,1, ,|#]
20,6,0,as,as
21,6,1,opposed,opposed
22,6,2,to,to
23,6,3,the,the
24,6,4,yellow,yellow
25,6,5,or,or
26,6,6,green,green
27,6,7,peppers,pepp[ers]
28,6,8, ,.
29,7,0,No,[No]
30,7,1,no,no
31,7,2, ,","
32,8,0,it,it
33,8,1,was,was
34,8,2,all,all
35,8,3, ,..
36,8,4,salad,salad
37,8,5,peppers,peppers
38,8,6, ,.
39,9,0,It's,It's
40,9,1,all,all
41,9,2,salad,salad
42,9,3,peppers,peppers
43,9,4, ,.
44,10,0,Mhm,Mhm
45,10,1, ,.
46,11,0, ,...
47,11,1,In,In
48,11,2,that,that
49,11,3,case,case
50,11,4,I,I
51,11,5,will,will
52,11,6,use,use
53,11,7,a,a
54,11,8,yellow,yellow
55,11,9,pepper,pepper
56,11,10,for,for
57,11,11,this,this
58,11,12,evening,evening
59,11,13, ,.
60,12,0, ,..
61,12,1,Oh,Oh
62,12,2, ,","
63,13,0, ,...
64,13,1,fabulous,fabulous
65,13,2, ,.
66,14,0, ,...
67,14,1,Peter,[~Peter]
68,14,2, ,","
69,15,0, ,[#]
70,16,0,would,would
71,16,1,you,[2you
72,16,2,like,|2like
73,16,3,to,|2to]
74,16,4, ,...
75,16,5,string,string
76,16,6,the,the
77,16,7,beans,bea:ns
78,16,8, ,?
79,17,0,What,[2What
80,17,1,can,|2can
81,17,2,I,|2I
82,17,3,do,|2do]
83,17,4, ,.
84,18,0,Sure,Sure
85,18,1, ,.
86,19,0,WHISTLE,{WHISTLE}
87,20,0, ,...
88,20,1,Oh,Oh
89,20,2, ,","
90,21,0,it,#it
91,21,1,smells,#smells
92,21,2,like,#like
93,21,3,that,#that
94,21,4,stuff,#stuff
95,21,5, ,.
96,22,0, ,...
97,22,1,I,I
98,22,2,know,know
99,22,3, ,.
100,23,0, ,..
101,23,1,It's,It's
102,23,2,kind,kind
103,23,3,of,of
104,23,4,smelly,smelly
105,23,5, ,","
106,24,0,isn't,isn't
107,24,1,it,it
108,24,2, ,.
109,25,0,Mhm,Mhm
110,25,1, ,.
111,26,0, ,...
112,26,1,WHISTLE,{/WHISTLE}
113,27,0,But,But
114,27,1,I,I
115,27,2,got,got
116,27,3,it,it
117,27,4,at,at
118,27,5,a,a
119,27,6,reputable,reputable
120,27,7,market,market
121,27,8, ,.
122,28,0, ,...
123,28,1,Well,Well
124,28,2,let's,let's
125,28,3,see,see
126,28,4, ,","
127,29,0, ,..
128,29,1,a,[a
129,29,2,threeperson,|three-person
130,29,3,salad,|salad]
131,29,4,bowl,bow:[2:l]
132,29,5, ,.
