InstIDChain,ChainNum,ChainType,ChainSubType,ClickTimeFirst,ClickTimeLast,SessionID,State,Rating
101433,1,Rez,general,1.04,2.37,0,0,0
101434,2,Stack,general,0,0,0,0,0
