wordID,displayWordSeq,displayCol,pixelX,wordState,displayString,"inChainList","inBoxList",aligned,void,stretch,replaceWord
106,6,6,770.00,0,~Tim,"{}","{}",1,0,0, 
107,7,7,870.00,0,bitching,"{}","{}",1,0,0, 
108,8,8,970.00,0,around,"{}","{}",1,0,0, 
109,9,9,1070.00,0,and,"{}","{}",1,0,0, 
110,10,10,1170.00,0,",","{}","{}",1,0,0, 
111,0,0,170.00,0,..,"{}","{}",1,0,0, 
112,1,1,270.00,0,he,"{}","{}",1,0,0, 
113,2,2,370.00,0,lied,"{}","{}",1,0,0, 
114,3,3,470.00,0,too,"{}","{}",1,0,0, 
115,4,4,570.00,0,.,"{}","{}",1,0,0, 
116,0,0,170.00,0,...,"{}","{}",1,0,0, 
117,1,1,270.00,0,He,"{}","{}",1,0,0, 
118,2,2,370.00,0,said,"{}","{}",1,0,0, 
119,3,3,470.00,0,that,"{}","{}",1,0,0, 
120,4,4,570.00,0,he,"{}","{}",1,0,0, 
121,5,5,670.00,0,talked,"{}","{}",1,0,0, 
122,6,6,770.00,0,to,"{}","{}",1,0,0, 
123,7,7,870.00,0,*Ron,"{}","{}",1,0,0, 
124,8,8,970.00,0,",","{}","{}",1,0,0, 
125,0,0,170.00,0,and,"{}","{}",1,0,0, 
126,1,1,270.00,0,all,"{}","{}",1,0,0, 
127,2,2,370.00,0,this,"{}","{}",1,0,0, 
128,3,3,470.00,0,other,"{}","{}",1,0,0, 
129,4,4,570.00,0,shit,"{}","{}",1,0,0, 
130,5,5,670.00,0,?,"{}","{}",1,0,0, 
131,0,0,170.00,0,About,"{}","{}",1,0,0, 
132,1,1,270.00,0,what,"{}","{}",1,0,0, 
133,2,2,370.00,0,.,"{}","{}",1,0,0, 
134,0,0,170.00,0,...,"{}","{}",1,0,0, 
135,1,1,270.00,0,About,"{}","{}",1,0,0, 
136,2,2,370.00,0,...,"{}","{}",1,0,0, 
137,3,3,470.00,0,the,"{}","{}",1,0,0, 
138,4,4,570.00,0,way,"{}","{}",1,0,0, 
139,5,5,670.00,0,...,"{}","{}",1,0,0, 
140,6,6,770.00,0,they,"{}","{}",1,0,0, 
141,7,7,870.00,0,were,"{}","{}",1,0,0, 
142,8,8,970.00,0,feeling,"{}","{}",1,0,0, 
143,9,9,1070.00,0,",","{}","{}",1,0,0, 
144,0,0,170.00,0,...,"{}","{}",1,0,0, 
145,1,1,270.00,0,of,"{}","{}",1,0,0, 
146,2,2,370.00,0,them,"{}","{}",1,0,0, 
147,3,3,470.00,0,being,"{}","{}",1,0,0, 
148,4,4,570.00,0,the,"{}","{}",1,0,0, 
149,5,5,670.00,0,only,"{}","{}",1,0,0, 
150,6,6,770.00,0,ones,"{}","{}",1,0,0, 
151,7,7,870.00,0,cleaning,"{}","{}",1,0,0, 
152,8,8,970.00,0,the,"{}","{}",1,0,0, 
153,9,9,1070.00,0,house,"{}","{}",1,0,0, 
154,10,10,1170.00,0,",","{}","{}",1,0,0, 
155,0,0,170.00,0,and,"{}","{}",1,0,0, 
156,1,1,270.00,0,all,"{}","{}",1,0,0, 
157,2,2,370.00,0,this,"{}","{}",1,0,0, 
158,3,3,470.00,0,other,"{}","{}",1,0,0, 
159,4,4,570.00,0,shit,"{}","{}",1,0,0, 
160,5,5,670.00,0,?,"{}","{}",1,0,0, 
161,0,0,170.00,0,...,"{}","{}",1,0,0, 
162,1,1,270.00,0,I,"{}","{}",1,0,0, 
163,2,2,370.00,0,mean,"{}","{}",1,0,0, 
164,3,3,470.00,0,what,"{}","{}",1,0,0, 
165,4,4,570.00,0,they,"{}","{}",1,0,0, 
166,5,5,670.00,0,don't,"{}","{}",1,0,0, 
167,6,6,770.00,0,realize,"{}","{}",1,0,0, 
168,7,7,870.00,0,",","{}","{}",1,0,0, 
169,0,0,170.00,0,is,"{}","{}",1,0,0, 
170,1,1,270.00,0,like,"{}","{}",1,0,0, 
171,2,2,370.00,0,",","{}","{}",1,0,0, 
172,0,0,170.00,0,...,"{}","{}",1,0,0, 
173,1,1,270.00,0,shit,"{}","{}",1,0,0, 
174,2,2,370.00,0,",","{}","{}",1,0,0, 
175,0,0,170.00,0,when,"{}","{}",1,0,0, 
176,1,1,270.00,0,*Ron,"{}","{}",1,0,0, 
177,2,2,370.00,0,gets,"{}","{}",1,0,0, 
178,3,3,470.00,0,home,"{}","{}",1,0,0, 
179,4,4,570.00,0,from,"{}","{}",1,0,0, 
180,5,5,670.00,0,wor:k,"{}","{}",1,0,0, 
181,6,6,770.00,0,",","{}","{}",1,0,0, 
182,0,0,170.00,0,...,"{}","{}",1,0,0, 
183,1,1,270.00,0,I,"{}","{}",1,0,0, 
184,2,2,370.00,0,wanna,"{}","{}",1,0,0, 
185,3,3,470.00,0,spend,"{}","{}",1,0,0, 
186,4,4,570.00,0,time,"{}","{}",1,0,0, 
187,5,5,670.00,0,with,"{}","{}",1,0,0, 
188,6,6,770.00,0,*Ro:n,"{}","{}",1,0,0, 
189,7,7,870.00,0,",","{}","{}",1,0,0, 
190,0,0,170.00,0,because,"{}","{}",1,0,0, 
191,1,1,270.00,0,*Ron,"{}","{}",1,0,0, 
192,2,2,370.00,0,",","{}","{}",1,0,0, 
193,0,0,170.00,0,...,"{}","{}",1,0,0, 
194,1,1,270.00,0,usually,"{}","{}",1,0,0, 
195,2,2,370.00,0,doesn't,"{}","{}",1,0,0, 
196,3,3,470.00,0,get,"{}","{}",1,0,0, 
197,4,4,570.00,0,home,"{}","{}",1,0,0, 
198,5,5,670.00,0,till,"{}","{}",1,0,0, 
199,6,6,770.00,0,@nine,"{}","{}",1,0,0, 
200,7,7,870.00,0,or,"{}","{}",1,0,0, 
201,8,8,970.00,0,ten,"{}","{}",1,0,0, 
202,9,9,1070.00,0,.,"{}","{}",1,0,0, 
203,0,0,170.00,0,...,"{}","{}",1,0,0, 
204,1,1,270.00,0,Yeah:,"{}","{}",1,0,0, 
205,2,2,370.00,0,.,"{}","{}",1,0,0, 
206,0,0,170.00,0,Unlike,"{}","{}",1,0,0, 
