docId,unitId,unitStart,unitEnd,sequence,participant,order,transcript,text,POS_dft,kind,endNote,corpusSeq,tokenSeq,place,negPlace,turnOrder,pSentOrder,turnSeq,pSentSeq,unitStartSkipPause,unitDur,unitDurSkipPause
sbc008,1,0.000,3.400,1,>ENV;,1,((DOOR_OPENS)),((DOOR_OPENS)),X,Action,"",56484,1,,,1,1,1,1,0.000,3.400,3.400
sbc008,1,0.000,3.400,1,>ENV;,2,<<TALK,<<TALK,X,Tag,"",56485,2,,,2,2,1,1,0.000,3.400,3.400
sbc008,2,3.400,4.100,2,REBECCA;,1,<<FOOTSTEPS,<<FOOTSTEPS,X,Tag,"",56487,4,,,1,4,2,2,3.400,0.700,0.700
sbc008,2,3.400,4.100,2,REBECCA;,2,Okay,Okay,INTJ,Word,"",56488,5,1,1,2,5,2,2,3.400,0.700,0.700
sbc008,2,3.400,4.100,2,REBECCA;,3,.,.,PUNCT,EndNote,final,56489,6,,,3,6,2,2,3.400,0.700,0.700
sbc008,3,4.100,5.850,3,REBECCA;,1,(...),(...),X,Pause,"",56491,8,,,5,8,2,3,4.600,1.750,1.250
sbc008,3,4.100,5.850,3,REBECCA;,2,(SNIFF),(SNIFF),X,Vocalism,"",56492,9,,,6,9,2,3,4.600,1.750,1.250
sbc008,3,4.100,5.850,3,REBECCA;,3,U:m,Um,PROPN,Word,"",56493,10,1,1,7,10,2,3,4.600,1.750,1.250
sbc008,3,4.100,5.850,3,REBECCA;,4,",",",",PUNCT,EndNote,continuing,56494,11,,,8,11,2,3,4.600,1.750,1.250
sbc008,4,5.850,7.400,4,>ENV;,1,((DOOR_CLOSES)),((DOOR_CLOSES)),X,Action,"",56496,13,,,1,13,3,1,5.850,1.550,1.550
sbc008,5,7.400,7.800,5,REBECCA;,1,The,The,DET,Word,"",56498,15,1,1,1,15,4,3,7.400,0.400,0.400
sbc008,5,7.400,7.800,5,REBECCA;,2,—,—,PUNCT,EndNote,break,56499,16,,,2,16,4,3,7.400,0.400,0.400
sbc008,6,7.800,10.150,6,REBECCA;,1,(...),(...),X,Pause,"",56501,18,,,4,18,4,3,8.300,2.350,1.850
sbc008,6,7.800,10.150,6,REBECCA;,2,The,The,DET,Word,"",56502,19,1,8,5,19,4,3,8.300,2.350,1.850
sbc008,6,7.800,10.150,6,REBECCA;,3,way,way,NOUN,Word,"",56503,20,2,7,6,20,4,3,8.300,2.350,1.850
sbc008,6,7.800,10.150,6,REBECCA;,4,that,that,DET,Word,"",56504,21,3,6,7,21,4,3,8.300,2.350,1.850
sbc008,6,7.800,10.150,6,REBECCA;,5,your,your,DET,Word,"",56505,22,4,5,8,22,4,3,8.300,2.350,1.850
sbc008,6,7.800,10.150,6,REBECCA;,6,testimony,testimony,NOUN,Word,"",56506,23,5,4,9,1,4,3,8.300,2.350,1.850
sbc008,6,7.800,10.150,6,REBECCA;,7,is,is,AUX,Word,"",56507,24,6,3,10,2,4,3,8.300,2.350,1.850
sbc008,6,7.800,10.150,6,REBECCA;,8,FOOTSTEPS>>,FOOTSTEPS>>,X,Tag,"",56508,25,,,11,3,4,3,8.300,2.350,1.850
sbc008,6,7.800,10.150,6,REBECCA;,9,coming,coming,VERB,Word,"",56509,26,7,2,12,4,4,3,8.300,2.350,1.850
sbc008,6,7.800,10.150,6,REBECCA;,10,in,in,ADV,Word,"",56510,27,8,1,13,1,4,3,8.300,2.350,1.850
sbc008,6,7.800,10.150,6,REBECCA;,11,",",",",PUNCT,EndNote,continuing,56511,28,,,14,2,4,3,8.300,2.350,1.850
sbc008,7,10.150,12.010,7,REBECCA;,1,(...),(...),X,Pause,"",56513,30,,,16,4,4,3,10.650,1.860,1.360
sbc008,7,10.150,12.010,7,REBECCA;,2,I,I,PRON,Word,"",56514,31,1,13,17,5,4,3,10.650,1.860,1.360
sbc008,7,10.150,12.010,7,REBECCA;,3,do,do,AUX,Word,"",56515,32,2,12,18,6,4,3,10.650,1.860,1.360
sbc008,7,10.150,12.010,7,REBECCA;,4,n't,n't,PART,Word,"",56516,33,3,11,19,7,4,3,10.650,1.860,1.360
sbc008,7,10.150,12.010,7,REBECCA;,5,know,know,VERB,Word,"",56517,34,4,10,20,8,4,3,10.650,1.860,1.360
sbc008,7,10.150,12.010,7,REBECCA;,6,if,if,SCONJ,Word,"",56518,35,5,9,21,9,4,3,10.650,1.860,1.360
sbc008,7,10.150,12.010,7,REBECCA;,7,I,I,PRON,Word,"",56519,36,6,8,22,10,4,3,10.650,1.860,1.360
sbc008,7,10.150,12.010,7,REBECCA;,8,explained,explained,VERB,Word,"",56520,37,7,7,23,11,4,3,10.650,1.860,1.360
sbc008,7,10.150,12.010,7,REBECCA;,9,this,this,DET,Word,"",56521,38,8,6,24,12,4,3,10.650,1.860,1.360
sbc008,7,10.150,12.010,7,REBECCA;,10,to,to,ADP,Word,"",56522,39,9,5,25,13,4,3,10.650,1.860,1.360
sbc008,7,10.150,12.010,7,REBECCA;,11,you,you,PRON,Word,"",56523,40,10,4,26,14,4,3,10.650,1.860,1.360
sbc008,7,10.150,12.010,7,REBECCA;,12,o[n,on,VERB,Word,"",56524,41,11,3,27,15,4,3,10.650,1.860,1.360
sbc008,7,10.150,12.010,7,REBECCA;,13,the,the,DET,Word,"",56525,42,12,2,28,16,4,3,10.650,1.860,1.360
sbc008,7,10.150,12.010,7,REBECCA;,14,ph]one,phone,PROPN,Word,"",56526,43,13,1,29,17,4,3,10.650,1.860,1.360
sbc008,7,10.150,12.010,7,REBECCA;,15,",",",",PUNCT,EndNote,continuing,56527,44,,,30,18,4,3,10.650,1.860,1.360
sbc008,8,11.500,11.750,8,RICKIE;,1,[Hm-m],Hm-m,NOUN,Word,"",56529,46,1,1,1,20,5,4,11.500,0.250,0.250
sbc008,8,11.500,11.750,8,RICKIE;,2,.,.,PUNCT,EndNote,final,56530,47,,,2,21,5,4,11.500,0.250,0.250
sbc008,9,12.010,12.410,9,REBECCA;,1,is,is,AUX,Word,"",56532,49,1,1,1,23,6,3,12.010,0.400,0.400
sbc008,9,12.010,12.410,9,REBECCA;,2,",",",",PUNCT,EndNote,continuing,56533,50,,,2,24,6,3,12.010,0.400,0.400
sbc008,10,12.410,15.610,10,REBECCA;,1,(H):,(H),X,Vocalism,"",56535,52,,,4,26,6,3,12.410,3.200,3.200
sbc008,10,12.410,15.610,10,REBECCA;,2,when,when,ADV,Word,"",56536,53,1,8,5,27,6,3,12.410,3.200,3.200
sbc008,10,12.410,15.610,10,REBECCA;,3,a,a,DET,Word,"",56537,54,2,7,6,28,6,3,12.410,3.200,3.200
sbc008,10,12.410,15.610,10,REBECCA;,4,person,person,NOUN,Word,"",56538,55,3,6,7,29,6,3,12.410,3.200,3.200
sbc008,10,12.410,15.610,10,REBECCA;,5,(Hx),(Hx),X,Vocalism,"",56539,56,,,8,30,6,3,12.410,3.200,3.200
sbc008,10,12.410,15.610,10,REBECCA;,6,is,is,AUX,Word,"",56540,57,4,5,9,31,6,3,12.410,3.200,3.200
sbc008,10,12.410,15.610,10,REBECCA;,7,charged,charged,VERB,Word,"",56541,58,5,4,10,32,6,3,12.410,3.200,3.200
sbc008,10,12.410,15.610,10,REBECCA;,8,with,with,ADP,Word,"",56542,59,6,3,11,33,6,3,12.410,3.200,3.200
sbc008,10,12.410,15.610,10,REBECCA;,9,multiple,multiple,ADJ,Word,"",56543,60,7,2,12,34,6,3,12.410,3.200,3.200
sbc008,10,12.410,15.610,10,REBECCA;,10,crimes,crimes,NOUN,Word,"",56544,61,8,1,13,35,6,3,12.410,3.200,3.200
sbc008,10,12.410,15.610,10,REBECCA;,11,",",",",PUNCT,EndNote,continuing,56545,62,,,14,36,6,3,12.410,3.200,3.200
sbc008,11,15.610,16.560,11,REBECCA;,1,(Hx):,(Hx),X,Vocalism,"",56547,64,,,16,38,6,3,15.610,0.950,0.950
sbc008,11,15.610,16.560,11,REBECCA;,2,(.),(.),X,Pause,"",56548,65,,,17,39,6,3,15.610,0.950,0.950
sbc008,11,15.610,16.560,11,REBECCA;,3,a:nd,and,NOUN,Word,"",56549,66,1,1,18,40,6,3,15.610,0.950,0.950
sbc008,11,15.610,16.560,11,REBECCA;,4,",",",",PUNCT,EndNote,continuing,56550,67,,,19,41,6,3,15.610,0.950,0.950
sbc008,12,16.560,17.160,12,REBECCA;,1,u:m,um,FILL,Word,"",56552,69,1,1,21,43,6,3,16.560,0.600,0.600
sbc008,12,16.560,17.160,12,REBECCA;,2,",",",",PUNCT,EndNote,continuing,56553,70,,,22,44,6,3,16.560,0.600,0.600
sbc008,13,17.160,18.860,13,REBECCA;,1,(.),(.),X,Pause,"",56555,72,,,24,46,6,3,17.310,1.700,1.550
sbc008,13,17.160,18.860,13,REBECCA;,2,there,there,ADV,Word,"",56556,73,1,4,25,47,6,3,17.310,1.700,1.550
sbc008,13,17.160,18.860,13,REBECCA;,3,(.),(.),X,Pause,"",56557,74,,,26,48,6,3,17.310,1.700,1.550
sbc008,13,17.160,18.860,13,REBECCA;,4,are,are,AUX,Word,"",56558,75,2,3,27,49,6,3,17.310,1.700,1.550
sbc008,13,17.160,18.860,13,REBECCA;,5,other,other,ADJ,Word,"",56559,76,3,2,28,50,6,3,17.310,1.700,1.550
sbc008,13,17.160,18.860,13,REBECCA;,6,incidences,incidences,NOUN,Word,"",56560,77,4,1,29,51,6,3,17.310,1.700,1.550
sbc008,13,17.160,18.860,13,REBECCA;,7,",",",",PUNCT,EndNote,continuing,56561,78,,,30,52,6,3,17.310,1.700,1.550
sbc008,14,18.860,20.560,14,REBECCA;,1,where,where,ADV,Word,"",56563,80,1,7,32,54,6,3,18.860,1.700,1.700
sbc008,14,18.860,20.560,14,REBECCA;,2,he:,he,PROPN,Word,"",56564,81,2,6,33,55,6,3,18.860,1.700,1.700
sbc008,14,18.860,20.560,14,REBECCA;,3,acted,acted,VERB,Word,"",56565,82,3,5,34,56,6,3,18.860,1.700,1.700
sbc008,14,18.860,20.560,14,REBECCA;,4,in,in,ADP,Word,"",56566,83,4,4,35,57,6,3,18.860,1.700,1.700
sbc008,14,18.860,20.560,14,REBECCA;,5,the,the,DET,Word,"",56567,84,5,3,36,58,6,3,18.860,1.700,1.700
sbc008,14,18.860,20.560,14,REBECCA;,6,same,same,ADJ,Word,"",56568,85,6,2,37,59,6,3,18.860,1.700,1.700
sbc008,14,18.860,20.560,14,REBECCA;,7,way,way,NOUN,Word,"",56569,86,7,1,38,60,6,3,18.860,1.700,1.700
sbc008,14,18.860,20.560,14,REBECCA;,8,?,?,PUNCT,EndNote,appeal,56570,87,,,39,61,6,3,18.860,1.700,1.700
sbc008,15,20.560,21.130,15,RICKIE;,1,[Mhm],Mhm,X,Word,"",56572,89,1,1,1,63,7,5,20.560,0.570,0.570
sbc008,15,20.560,21.130,15,RICKIE;,2,",",",",PUNCT,EndNote,continuing,56573,90,,,2,64,7,5,20.560,0.570,0.570
sbc008,16,20.560,22.290,16,REBECCA;,1,[(H)],(H),X,Vocalism,"",56575,92,,,1,66,8,6,20.560,1.730,1.730
sbc008,16,20.560,22.290,16,REBECCA;,2,When,When,ADV,Word,"",56576,93,1,5,2,67,8,6,20.560,1.730,1.730
sbc008,16,20.560,22.290,16,REBECCA;,3,we,we,PRON,Word,"",56577,94,2,4,3,68,8,6,20.560,1.730,1.730
