longId,discoId,unitId,tokenId,order,place,agent,transcript,transcript_LDC,text,text_LDC,kind,endNote,back,clitic,hostId,noSpaceAfter,unitStart,unitEnd,unitLen,wordStart,wordEnd,wordTimeExact,POS_Spacy,tag_Spacy,DepRel_Spacy,Head,Lemma,Norm,Prefix,Suffix,Is Alpha,overlap,Is Overlap,lag,Is Lag,pause,microPause,laugh,unclear,%word,_word,Pre-phonation,Pseudograph,turnId,turnOrder
91230,13,1,1,1,1,KEVIN;,Is,Is,Is,Is,Word,,5,null,0,FALSE,0,1.24,7,0,0.09,TRUE,VERB,VBZ,ccomp,'m,be,is,I,Is,True,,False,0,False,0,0,,,,,,,1,1
91231,13,1,2,2,2,KEVIN;,that,that,that,that,Word,,4,null,0,FALSE,0,1.24,7,0.09,0.23,TRUE,DET,DT,nsubj,Is,that,that,t,hat,True,,False,0,False,0,0,,,,,,,1,2
91232,13,1,3,3,3,KEVIN;,just,just,just,just,Word,,3,null,0,FALSE,0,1.24,7,0.23,0.48,TRUE,ADV,RB,advmod,[carbonated,just,just,j,ust,True,,False,0,False,0,0,,,,,,,1,3
91233,13,1,4,4,4,KEVIN;,[carbonated,[carbonated,carbonated,carbonated,Word,,2,null,0,FALSE,0,1.24,7,0.48,0.96,TRUE,X,XX,attr,Is,[carbonated,[carbonated,[,ted,False,],True,0,False,0,0,,,,,,,1,4
91234,13,1,5,5,5,KEVIN;,water],water],water,water,Word,,1,null,0,TRUE,0,1.24,7,0.96,1.22,TRUE,NOUN,NNS,attr,Is,water],water],w,er],False,,True,0,False,0,0,,,,,,,1,5
91235,13,1,6,6,,KEVIN;,?,?,?,?,EndNote,appeal,,null,0,TRUE,0,1.24,7,1.22,1.24,TRUE,PUNCT,.,punct,0.45,?,?,?,?,False,],False,0,False,0,0,,,,,,,1,6
91236,13,1,7,7,,KEVIN;,"","","","",Newline,,,null,0,TRUE,0,1.24,7,0.48,0.48,TRUE,SPACE,_SP,,?,"","","","",False,,False,0,False,0,0,,,,,,,1,7
91237,13,2,8,1,1,WENDY;,[No,[No,No,No,Word,,3,null,0,FALSE,0.45,1.24,5,0.45,0.64,TRUE,X,XX,dep,thank,[no,[no,[,[No,False,],True,0,False,0,0,,,,,,,2,1
91238,13,2,9,2,2,WENDY;,thank,thank,thank,thank,Word,,2,null,0,FALSE,0.45,1.24,5,0.64,1.02,TRUE,VERB,VBP,attr,Is,thank,thank,t,ank,True,,True,0,False,0,0,,,,,,,2,2
91239,13,2,10,3,3,WENDY;,you],you],you,you,Word,,1,null,0,TRUE,0.45,1.24,5,1.02,1.19,TRUE,NOUN,NN,punct,thank,you],you],y,ou],False,,True,0,False,0,0,,,,,,,2,3
91240,13,2,11,4,,WENDY;,.,.,.,.,EndNote,final,,null,0,TRUE,0.45,1.24,5,1.19,1.240023,TRUE,PUNCT,.,punct,Is,.,.,.,.,False,],False,0,False,0,0,,,,,,,2,4
91241,13,2,12,5,,WENDY;,"","","","",Newline,,,null,0,TRUE,0.45,1.24,5,0.45,0.45,TRUE,SPACE,_SP,,.,"","","","",False,,False,0,False,0,0,,,,,,,2,5
91242,13,3,13,1,1,WENDY;,[2No,[2No,No,No,Word,,1,null,0,TRUE,1.24,1.5,3,0.45,0.64,TRUE,X,XX,attr,Is,[2no,[2no,[,2No,False,[,True,0,False,0,0,,,,,,,2,6
91243,13,3,14,2,,WENDY;,",",",",",",",",EndNote,continuing,,null,0,TRUE,1.24,1.5,3,0.64,0.64,TRUE,PUNCT,",",punct,Is,",",",",",",",",False,,True,0,False,0,0,,,,,,,2,7
91244,13,3,15,3,,WENDY;,"","","","",Newline,,,null,0,TRUE,1.24,1.5,3,0.64,0.64,TRUE,SPACE,_SP,,",","","","","",False,,True,0,False,0,0,,,,,,,2,8
91245,13,4,16,1,,KEN;,[2(H),[2(H),(H),(H),Vocalism,,,null,0,FALSE,1.24,3.38,8,1.24,1.36,TRUE,X,XX,attr,Is,[2(h),[2(h),[,(H),False,],True,0,False,0,0,,,,,,,3,1
91246,13,4,17,2,1,KEN;,No,No,No,No,Word,,5,null,0,FALSE,1.24,3.38,8,1.36,1.55,TRUE,INTJ,UH,intj,Is,no,no,N,No,True,[,True,0,False,0,0,,,,,,,3,2
91247,13,4,18,3,2,KEN;,this,this,this,this,Word,,4,null,0,FALSE,1.24,3.38,8,1.55,2.01,TRUE,DET,DT,nsubj,Is,this,this,t,his,True,,True,0,False,0,0,,,,,,,3,3
91248,13,4,19,4,3,KEN;,is],is2],is,is,Word,,3,null,0,FALSE,1.24,3.38,8,2.01,2.23,TRUE,NOUN,NN,punct,Is,is2],is2],i,s2],False,,True,0,False,0,0,,,,,,,3,4
