corpusSeq,docId,unitId,unitStart,unitEnd,unitDur,unitBil,tokenSeq,sequence,order,place,back,actor,transcript,text,kind,endNote,part,tag,depRel,headText,headId,Lemma,turnSeq,turnBil,turnOrder,pSentSeq,pSentBil,pSentOrder
262776,36,1,0.000,2.648,2.648,B,1,1,1,,,LISA;,(.),(.),Pause,"",PROPN,NNP,compound,(H),2,(.),1,B,1,1,B,1
262777,36,1,0.000,2.648,2.648,I,2,1,2,,,LISA;,(H),(H),Vocalism,"",PROPN,NNP,appos,0.000,,(H),1,I,2,1,I,2
262778,36,1,0.000,2.648,2.648,L,3,1,3,,,LISA;,[((IMITATING_BABY_BREATHING))]:,((IMITATING_BABY_BREATHING)),Action,"",X,XX,punct,0.000,,[((imitating_baby_breathing))]:,1,L,3,1,I,3
262780,36,2,1.004,1.965,0.961,B,5,2,1,1,2,KEVIN;,[#He's,He's,Word,"",X,XX,cc,0.000,,[#he's,2,B,1,2,B,1
262781,36,2,1.004,1.965,0.961,L,6,2,2,2,1,KEVIN;,#teething],teething,Word,"",NOUN,NN,nsubj,have,13,#teething],2,L,2,2,L,2
262782,36,2,1.004,1.965,0.961,O,7,2,3,,,KEVIN;,.,.,EndNote,final,PUNCT,.,punct,#teething],6,.,2,O,3,2,O,3
262784,36,3,2.648,5.458,2.810,U,9,3,1,,,LISA;,((IMITATING_BABY_BREATHING))[2:],((IMITATING_BABY_BREATHING)),Action,"",PUNCT,-RRB-,appos,5.458,,((IMITATING_BABY_BREATHING))[2:],3,U,1,1,I,1
262786,36,4,4.823,5.612,0.789,B,11,4,1,1,5,MARIE;,[2You,You,Word,"",PRON,PRP,punct,have,13,[2you,4,B,1,3,B,1
262787,36,4,4.823,5.612,0.789,I,12,4,2,2,4,MARIE;,should,should,Word,"",VERB,MD,aux,have,13,should,4,I,2,3,I,2
262788,36,4,4.823,5.612,0.789,I,13,4,3,3,3,MARIE;,have,have,Word,"",AUX,VB,ccomp,'s,55,have,4,I,3,3,I,3
262789,36,4,4.823,5.612,0.789,I,14,4,4,4,2,MARIE;,heard2],heard,Word,"",PROPN,NNP,compound,him,15,heard2],4,I,4,3,I,4
262790,36,4,4.823,5.612,0.789,L,15,4,5,5,1,MARIE;,him,him,Word,"",PRON,PRP,dobj,have,13,-PRON-,4,I,5,3,I,5
262791,36,4,4.823,5.612,0.789,O,16,4,6,,,MARIE;,",",",",EndNote,continuing,PUNCT,",",punct,have,13,",",4,O,6,3,O,6
262793,36,5,5.612,7.029,1.417,B,18,5,1,1,9,MARIE;,the,the,Word,"",DET,DT,det,night,19,the,4,I,8,3,I,8
262794,36,5,5.612,7.029,1.417,I,19,5,2,2,8,MARIE;,night,night,Word,"",NOUN,NN,npadvmod,have,13,night,4,I,9,3,I,9
262795,36,5,5.612,7.029,1.417,I,20,5,3,3,7,MARIE;,we,we,Word,"",PRON,PRP,nsubj,took,21,-PRON-,4,I,10,3,I,10
262796,36,5,5.612,7.029,1.417,I,21,5,4,4,6,MARIE;,took,took,Word,"",VERB,VBD,relcl,night,19,take,4,I,11,3,I,11
262797,36,5,5.612,7.029,1.417,I,22,5,5,5,5,MARIE;,him,him,Word,"",PRON,PRP,dobj,took,21,-PRON-,4,I,12,3,I,12
262798,36,5,5.612,7.029,1.417,I,23,5,6,6,4,MARIE;,to,to,Word,"",ADP,IN,prep,took,21,to,4,I,13,3,I,13
262799,36,5,5.612,7.029,1.417,I,24,5,7,7,3,MARIE;,the,the,Word,"",DET,DT,det,room,26,the,4,I,14,3,I,14
262800,36,5,5.612,7.029,1.417,I,25,5,8,8,2,MARIE;,emergency,emergency,Word,"",NOUN,NN,compound,room,26,emergency,4,I,15,3,I,15
262801,36,5,5.612,7.029,1.417,L,26,5,9,9,1,MARIE;,room,room,Word,"",NOUN,NN,pobj,to,23,room,4,I,16,3,L,16
262802,36,5,5.612,7.029,1.417,O,27,5,10,,,MARIE;,.,.,EndNote,final,PUNCT,.,punct,have,13,.,4,O,17,3,O,17
262804,36,6,7.029,7.958,0.929,B,29,6,1,1,3,MARIE;,[He,He,Word,"",X,XX,nsubj,sounded,30,[he,4,I,19,4,B,19
262805,36,6,7.029,7.958,0.929,I,30,6,2,2,2,MARIE;,sounded,sounded,Word,"",VERB,VBD,conj,have,13,sound,4,I,20,4,I,20
262806,36,6,7.029,7.958,0.929,L,31,6,3,3,1,MARIE;,worse],worse,Word,"",NOUN,NN,dobj,sounded,30,worse],4,L,21,4,L,21
262807,36,6,7.029,7.958,0.929,O,32,6,4,,,MARIE;,.,.,EndNote,final,PUNCT,.,punct,sounded,30,.,4,O,22,4,O,22
262809,36,7,7.029,7.958,0.929,B,34,7,1,1,3,LISA;,[@I,I,Word,"",X,XX,dep,pr–,35,[@i,5,B,1,1,I,1
262810,36,7,7.029,7.958,0.929,I,35,7,2,2,2,LISA;,pr–,pr,Word,"",PROPN,NNP,nmod,(%)],37,pr–,5,I,2,1,I,2
262811,36,7,7.029,7.958,0.929,I,36,7,3,3,1,LISA;,if–,if,Word,"",PROPN,NNP,compound,(%)],37,if–,5,I,3,1,I,3
262812,36,7,7.029,7.958,0.929,L,37,7,4,,,LISA;,(%)],(%),Vocalism,"",PROPN,NNP,appos,7.029,,(%)],5,I,4,1,I,4
262813,36,7,7.029,7.958,0.929,O,38,7,5,,,LISA;,—,—,EndNote,break,PUNCT,:,punct,(%)],37,—,5,O,5,1,O,5
262815,36,8,7.958,8.279,0.321,B,40,8,1,1,2,LISA;,I,I,Word,"",PRON,PRP,nsubj,know,41,-PRON-,5,I,7,1,I,7
262816,36,8,7.958,8.279,0.321,L,41,8,2,2,1,LISA;,know,know,Word,"",VERB,VBP,parataxis,(%)],37,know,5,I,8,1,I,8
262817,36,8,7.958,8.279,0.321,O,42,8,3,,,LISA;,",",",",EndNote,continuing,PUNCT,",",punct,(%)],37,",",5,O,9,1,O,9
262819,36,9,8.279,9.826,1.547,B,44,9,1,1,8,LISA;,I,I,Word,"",PRON,PRP,nsubj,freaked,50,-PRON-,5,I,11,1,I,11
262820,36,9,8.279,9.826,1.547,I,45,9,2,2,7,LISA;,would,would,Word,"",VERB,MD,aux,freaked,50,would,5,I,12,1,I,12
262821,36,9,8.279,9.826,1.547,I,46,9,3,3,6,LISA;,probably,probably,Word,"",ADV,RB,advmod,freaked,50,probably,5,I,13,1,I,13
262822,36,9,8.279,9.826,1.547,I,47,9,4,4,5,LISA;,'ve,'ve,Word,"",AUX,VB,aux,freaked,50,have,5,I,14,1,I,14
262823,36,9,8.279,9.826,1.547,I,48,9,5,5,4,LISA;,[been,been,Word,"",X,XX,dep,freaked,50,[been,5,I,15,1,I,15
262824,36,9,8.279,9.826,1.547,I,49,9,6,6,3,LISA;,totally,totally,Word,"",ADV,RB,advmod,freaked,50,totally,5,I,16,1,I,16
262825,36,9,8.279,9.826,1.547,I,50,9,7,7,2,LISA;,freaked,freaked,Word,"",VERB,VBN,ccomp,have,13,freak,5,I,17,1,I,17
262826,36,9,8.279,9.826,1.547,L,51,9,8,8,1,LISA;,out],out,Word,"",NOUN,NN,npadvmod,freaked,50,out],5,L,18,1,L,18
262827,36,9,8.279,9.826,1.547,O,52,9,9,,,LISA;,.,.,EndNote,final,PUNCT,.,punct,have,13,.,5,O,19,1,O,19
262829,36,10,8.631,9.652,1.021,B,54,10,1,1,3,KEVIN;,[That,That,Word,"",DET,DT,nsubj,'s,55,that,6,B,1,5,B,1
262830,36,10,8.631,9.652,1.021,I,55,10,2,2,2,KEVIN;,'s,'s,Word,"",AUX,VBZ,ccomp,'s,62,be,6,I,2,5,I,2
