docId,unitId,unitStart,unitEnd,sequence,participant,order,transcript,text,POS_dft,kind,endNote,corpusSeq,tokenSeq,place,negPlace,turnOrder,pSentOrder,turnSeq,pSentSeq,unitStartSkipPause,unitDur,unitDurSkipPause
sbc009,1,0.000,13.160,1,NATHAN;,1,(...),(...),X,Pause,"",65470,1,,,1,1,1,1,10.113,13.160,3.047
sbc009,1,0.000,13.160,1,NATHAN;,2,(H),(H),X,Vocalism,"",65471,2,,,2,2,1,1,10.113,13.160,3.047
sbc009,1,0.000,13.160,1,NATHAN;,3,Am,Am,AUX,Word,"",65472,3,1,7,3,3,1,1,10.113,13.160,3.047
sbc009,1,0.000,13.160,1,NATHAN;,4,I,I,PRON,Word,"",65473,4,2,6,4,4,1,1,10.113,13.160,3.047
sbc009,1,0.000,13.160,1,NATHAN;,5,doing,doing,VERB,Word,"",65474,5,3,5,5,5,1,1,10.113,13.160,3.047
sbc009,1,0.000,13.160,1,NATHAN;,6,that,that,DET,Word,"",65475,6,4,4,6,6,1,1,10.113,13.160,3.047
sbc009,1,0.000,13.160,1,NATHAN;,7,right,right,NOUN,Word,"",65476,7,5,3,7,7,1,1,10.113,13.160,3.047
sbc009,1,0.000,13.160,1,NATHAN;,8,so,so,ADV,Word,"",65477,8,6,2,8,8,1,1,10.113,13.160,3.047
sbc009,1,0.000,13.160,1,NATHAN;,9,far,far,ADV,Word,"",65478,9,7,1,9,9,1,1,10.113,13.160,3.047
sbc009,1,0.000,13.160,1,NATHAN;,10,?,?,PUNCT,EndNote,appeal,65479,10,,,10,10,1,1,10.113,13.160,3.047
sbc009,2,13.160,15.240,2,KATHY;,1,(...),(...),X,Pause,"",65481,12,,,1,1,2,2,13.660,2.080,1.580
sbc009,2,13.160,15.240,2,KATHY;,2,Mhm,Mhm,INTJ,Word,"",65482,13,1,1,2,2,2,2,13.660,2.080,1.580
sbc009,2,13.160,15.240,2,KATHY;,3,.,.,PUNCT,EndNote,final,65483,14,,,3,3,2,2,13.660,2.080,1.580
sbc009,3,15.240,17.190,3,NATHAN;,1,(...),(...),X,Pause,"",65485,16,,,1,1,3,3,15.740,1.950,1.450
sbc009,3,15.240,17.190,3,NATHAN;,2,(TSK),(TSK),X,Vocalism,"",65486,17,,,2,2,3,3,15.740,1.950,1.450
sbc009,3,15.240,17.190,3,NATHAN;,3,All,All,DET,Word,"",65487,18,1,6,3,3,3,3,15.740,1.950,1.450
sbc009,3,15.240,17.190,3,NATHAN;,4,the,the,DET,Word,"",65488,19,2,5,4,4,3,3,15.740,1.950,1.450
sbc009,3,15.240,17.190,3,NATHAN;,5,way,way,NOUN,Word,"",65489,20,3,4,5,5,3,3,15.740,1.950,1.450
sbc009,3,15.240,17.190,3,NATHAN;,6,down,down,ADP,Word,"",65490,21,4,3,6,6,3,3,15.740,1.950,1.450
sbc009,3,15.240,17.190,3,NATHAN;,7,to,to,ADP,Word,"",65491,22,5,2,7,7,3,3,15.740,1.950,1.450
sbc009,3,15.240,17.190,3,NATHAN;,8,that,that,DET,Word,"",65492,23,6,1,8,8,3,3,15.740,1.950,1.450
sbc009,3,15.240,17.190,3,NATHAN;,9,?,?,PUNCT,EndNote,appeal,65493,24,,,9,9,3,3,15.740,1.950,1.450
sbc009,4,17.190,20.370,4,KATHY;,1,(...),(...),X,Pause,"",65495,26,,,1,1,4,4,17.323,3.180,3.047
sbc009,4,17.190,20.370,4,KATHY;,2,Mhm,Mhm,INTJ,Word,"",65496,27,1,1,2,2,4,4,17.323,3.180,3.047
sbc009,4,17.190,20.370,4,KATHY;,3,.,.,PUNCT,EndNote,final,65497,28,,,3,3,4,4,17.323,3.180,3.047
sbc009,5,20.370,32.750,5,KATHY;,1,(...),(...),X,Pause,"",65499,30,,,5,1,4,5,29.703,12.380,3.047
sbc009,5,20.370,32.750,5,KATHY;,2,(TSK),(TSK),X,Vocalism,"",65500,31,,,6,2,4,5,29.703,12.380,3.047
sbc009,5,20.370,32.750,5,KATHY;,3,<WH,<WH,X,Tag,"",65501,32,,,7,3,4,5,29.703,12.380,3.047
sbc009,5,20.370,32.750,5,KATHY;,4,I,I,PRON,Word,"",65502,33,1,2,8,4,4,5,29.703,12.380,3.047
sbc009,5,20.370,32.750,5,KATHY;,5,WH>,WH>,X,Tag,"",65503,34,,,9,5,4,5,29.703,12.380,3.047
sbc009,5,20.370,32.750,5,KATHY;,6,think,think,VERB,Word,"",65504,35,2,1,10,6,4,5,29.703,12.380,3.047
sbc009,5,20.370,32.750,5,KATHY;,7,.,.,PUNCT,EndNote,final,65505,36,,,11,7,4,5,29.703,12.380,3.047
sbc009,6,32.750,34.870,6,NATHAN;,1,(...),(...),X,Pause,"",65507,38,,,1,1,5,6,33.250,2.120,1.620
sbc009,6,32.750,34.870,6,NATHAN;,2,I,I,PRON,Word,"",65508,39,1,6,2,2,5,6,33.250,2.120,1.620
sbc009,6,32.750,34.870,6,NATHAN;,3,do,do,AUX,Word,"",65509,40,2,5,3,3,5,6,33.250,2.120,1.620
sbc009,6,32.750,34.870,6,NATHAN;,4,n't,n't,PART,Word,"",65510,41,3,4,4,4,5,6,33.250,2.120,1.620
sbc009,6,32.750,34.870,6,NATHAN;,5,think,think,VERB,Word,"",65511,42,4,3,5,5,5,6,33.250,2.120,1.620
sbc009,6,32.750,34.870,6,NATHAN;,6,I,I,PRON,Word,"",65512,43,5,2,6,6,5,6,33.250,2.120,1.620
sbc009,6,32.750,34.870,6,NATHAN;,7,am,am,AUX,Word,"",65513,44,6,1,7,7,5,6,33.250,2.120,1.620
sbc009,6,32.750,34.870,6,NATHAN;,8,.,.,PUNCT,EndNote,final,65514,45,,,8,8,5,6,33.250,2.120,1.620
sbc009,7,34.870,35.460,7,NATHAN;,1,Do,Do,AUX,Word,"",65516,47,1,2,10,1,5,7,34.870,0.590,0.590
sbc009,7,34.870,35.460,7,NATHAN;,2,you,you,PRON,Word,"",65517,48,2,1,11,2,5,7,34.870,0.590,0.590
sbc009,7,34.870,35.460,7,NATHAN;,3,?,?,PUNCT,EndNote,appeal,65518,49,,,12,3,5,7,34.870,0.590,0.590
sbc009,8,35.460,43.280,8,KATHY;,1,(...),(...),X,Pause,"",65520,51,,,1,1,6,8,40.233,7.820,3.047
sbc009,8,35.460,43.280,8,KATHY;,2,(Hx),(Hx),X,Vocalism,"",65521,52,,,2,2,6,8,40.233,7.820,3.047
sbc009,8,35.460,43.280,8,KATHY;,3,(H),(H),X,Vocalism,"",65522,53,,,3,3,6,8,40.233,7.820,3.047
sbc009,8,35.460,43.280,8,KATHY;,4,And,And,CCONJ,Word,"",65523,54,1,10,4,4,6,8,40.233,7.820,3.047
