wordID,wID,unitID,uID,wordSeq,wordToken,wordTranscript
215,0,37,37,0, ,...
216,0,37,37,1,Leah,Le:ah:
217,0,37,37,2, ,.
218,0,38,38,0, ,...
219,0,38,38,1,She,She
220,0,38,38,2,snoozing,snoozing
221,0,38,38,3,on,on
222,0,38,38,4,the,the
223,0,38,38,5,floor,floor
224,0,38,38,6, ,?
225,0,39,39,0, ,..
226,0,39,39,1,Mhm,Mhm
227,0,39,39,2, ,.
228,0,40,40,0, ,...
229,0,40,40,1,Not,Not
230,0,40,40,2,anymore,anymore
231,0,40,40,3, ,","
232,0,41,41,0,you,you
233,0,41,41,1,woke,woke
234,0,41,41,2,her,her
235,0,41,41,3,up,u:p
236,0,41,41,4, ,.
237,0,42,42,0, ,...
238,0,42,42,1, ,@@@@
239,0,43,43,0, ,...
240,0,43,43,1, ,@@@
241,0,43,43,2, ,...
242,0,43,43,3, ,@@@
243,0,43,43,4, ,...
244,0,44,44,0, ,...
245,0,44,44,1,She's,She's
246,0,44,44,2,doing,doing
247,0,44,44,3,the,the
248,0,44,44,4,karate,karate
249,0,44,44,5,kid,kid
250,0,44,44,6, ,","
251,0,45,45,0,Nathan,~Nathan
252,0,45,45,1, ,.
253,0,46,46,0, ,..
254,0,46,46,1,She's,She's
255,0,46,46,2,like,like
256,0,46,46,3, ,","
257,0,47,47,0,leave,lea:ve
258,0,47,47,1,me,me
259,0,47,47,2,alone,alo:ne
260,0,47,47,3, ,.
261,0,48,48,0, ,...
262,0,48,48,1,Do,Do
263,0,48,48,2,I,I
264,0,48,48,3,deserve,deser:ve
265,0,48,48,4,this,this
266,0,48,48,5, ,@
267,0,48,48,6, ,.
268,0,49,49,0, ,[@@@@
269,0,49,49,1, ,|@@@
270,0,49,49,2, ,|@
271,0,50,50,0, ,[@@@@
272,0,50,50,1, ,|
273,0,50,50,2, ,|@@@@
274,0,50,50,3, ,|]
275,0,51,51,0,I,|I
276,0,51,51,1,mean,|mean
277,0,51,51,2,how,|how
278,0,51,51,3,would,|would
279,0,51,51,4,you,|you
280,0,51,51,5,like,|like
281,0,51,51,6,it,|it]
282,0,51,51,7, ,","
283,0,52,52,0,when,when
284,0,52,52,1,you're,you're
285,0,52,52,2,laying,laying
286,0,52,52,3,in,[2in
287,0,52,52,4,bed,|2be:d
288,0,52,52,5, ,","
289,0,53,53,0, ,[2@@@
290,0,53,53,1, ,|2@@@@@@@@]
291,0,53,53,2, ,@@
292,0,54,54,0,somebody,|2somebody
293,0,54,54,1,just,|2just
294,0,54,54,2,grabbed,|2grabbed
295,0,54,54,3,your,|2your
296,0,54,54,4,arm,|2arm
297,0,54,54,5, ,","
298,0,55,55,0,started,|2started
299,0,55,55,1,swinging,|2swinging
300,0,55,55,2,it,|2it
301,0,55,55,3,around,|2around2]
302,0,55,55,4, ,.
303,0,56,56,0, ,...
304,0,56,56,1,I'd,I'd
305,0,56,56,2,probably,probably
306,0,56,56,3,just,just
307,0,56,56,4,slap,slap
308,0,56,56,5,em,em
309,0,56,56,6, ,.
310,0,57,57,0, ,...
311,0,57,57,1,Ex,Ex
312,0,57,57,2,squared,squared
313,0,57,57,3,equals,equals
314,0,57,57,4,one,one
315,0,57,57,5,over,over
316,0,57,57,6,the,the
317,0,57,57,7,square,square
318,0,57,57,8,root,root
319,0,57,57,9,of,of
320,0,57,57,10,that,that
321,0,57,57,11, ,","
322,0,58,58,0, ,..
323,0,58,58,1,the,the
324,0,58,58,2,square,square
325,0,58,58,3,root,root
326,0,58,58,4,of,of
327,0,58,58,5,that,that
328,0,58,58,6, ,","
329,0,59,59,0, ,...
330,0,59,59,1,ex,ex
331,0,59,59,2,equals,equal[:s
332,0,59,59,3,the,|the
333,0,59,59,4,square,|square
334,0,59,59,5,root,|root
335,0,59,59,6,of,|of
336,0,59,59,7,one,|one
337,0,59,59,8, ,|]
338,0,59,59,9, ,","
339,0,60,60,0,She's,[She's
340,0,60,60,1,not,|not
341,0,60,60,2,even,|even
342,0,60,60,3,looking,|looking
343,0,60,60,4,at,|at
344,0,60,60,5,me,|me
345,0,60,60,6, ,.
346,0,61,61,0,She's,|She's
347,0,61,61,1,just,|just
348,0,61,61,2,looking,|looking
349,0,61,61,3, ,","
350,0,62,62,0,like,|l:ike]
351,0,62,62,1, ,--
352,0,63,63,0, ,..
353,0,63,63,1,I,I
354,0,63,63,2,know,know:
355,0,63,63,3, ,.
356,0,64,64,0, ,..
357,0,64,64,1,That's,That's
358,0,64,64,2,what,what
359,0,64,64,3,I'm,I'm
360,0,64,64,4,talking,talking
361,0,64,64,5,about,about
362,0,64,64,6, ,.
363,0,65,65,0, ,...
364,0,66,66,0, ,...
365,0,66,66,1,So,So
366,0,66,66,2, ,.
367,0,67,67,0, ,...
368,0,67,67,1,would,would
369,0,67,67,2,that,that
370,0,67,67,3,one,one
371,0,67,67,4,be,be:
372,0,67,67,5, ,","
373,0,68,68,0, ,...
374,0,68,68,1,square,square
375,0,68,68,2,root,root
376,0,68,68,3,of,of
377,0,68,68,4,one,one
378,0,68,68,5,half,half
379,0,68,68,6, ,?
380,0,69,69,0, ,...
381,0,69,69,1,Mhm,Mhm
382,0,69,69,2, ,","
383,0,70,70,0, ,...
384,0,70,70,1,It,It
385,0,70,70,2,would,would
386,0,70,70,3, ,?
387,0,71,71,0, ,...
388,0,71,71,1,Mhm,Mhm
389,0,71,71,2, ,.
390,0,72,72,0, ,...
391,0,72,72,1,Yep,Yep
392,0,72,72,2, ,.
393,0,73,73,0, ,...
394,0,73,73,1,But,But
395,0,73,73,2,do,do
396,0,73,73,3,y'all,y'all
397,0,73,73,4,have,have
398,0,73,73,5,to,to
399,0,73,73,6,do,do
400,0,73,73,7,that,that
401,0,73,73,8, ,","
402,0,74,74,0, ,..
403,0,74,74,1,um,um
404,0,74,74,2, ,","
405,0,75,75,0, ,...
406,0,75,75,1,you,you
407,0,75,75,2,have,have
408,0,75,75,3,to,to
409,0,75,75,4,like,like
410,0,75,75,5, ,","
411,0,76,76,0, ,...
412,0,76,76,1,have,have
413,0,76,76,2,it,it
