X1,Unnamed: 0.1,discoID,uID,wID,turnID,Token_dt1,Token_dft,Word_dt1,Word_dft,speaker,unitStartTime,unitEndTime,partOfSpeech_Spacy,Tag,DepRel_Spacy,Head,Lemma,Norm,Prefix,Suffix,Is Alpha,kind,Is Overlap,Is Lengthened,EndNote,overlap,lag,laugh,unclear,%word,_word,Pseudograph,Pre-phonation,tokenPlace,place,placeBack,turnPlace,unitLenTokens,pause,microPause,wordStart,wordStop,clitic,hostID,timeExact
66068,NA,9,1,1,1,...,â€¦,NA,NA,NATHAN;,0,13.16,PUNCT,:,punct,13.16,...,...,.,...,FALSE,Pause,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,1,11,1,0,0,0.09,null,0,TRUE
66069,NA,9,1,2,1,(H),(H),(H),(H),NATHAN;,0,13.16,PUNCT,-LRB-,punct,13.16,(H),(h),(,(H),FALSE,Vocalism,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,2,NA,NA,2,11,0,0,0.09,0.09,null,0,TRUE
66070,NA,9,1,3,1,Am,Am,Am,Am,NATHAN;,0,13.16,VERB,VBP,aux,doing,be,am,A,Am,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,3,1,7,3,11,0,0,0.09,0.15,null,0,TRUE
66071,NA,9,1,4,1,I,I,I,I,NATHAN;,0,13.16,PRON,PRP,nsubj,doing,-PRON-,i,I,I,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,4,2,6,4,11,0,0,11.82,11.91,null,0,TRUE
66072,NA,9,1,5,1,doing,doing,doing,doing,NATHAN;,0,13.16,VERB,VBG,ccomp,Mhm,do,doing,d,ing,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,5,3,5,5,11,0,0,11.91,12.15,null,0,TRUE
66073,NA,9,1,6,1,that,that,that,that,NATHAN;,0,13.16,DET,DT,det,right,that,that,t,hat,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,6,4,4,6,11,0,0,12.15,12.29,null,0,TRUE
66074,NA,9,1,7,1,right,right,right,right,NATHAN;,0,13.16,INTJ,UH,dobj,doing,right,right,r,ght,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,7,5,3,7,11,0,0,12.29,12.5,null,0,TRUE
66075,NA,9,1,8,1,so,so,so,so,NATHAN;,0,13.16,ADV,RB,advmod,far,so,so,s,so,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,8,6,2,8,11,0,0,12.5,12.7,null,0,TRUE
66076,NA,9,1,9,1,far,far,far,far,NATHAN;,0,13.16,ADV,RB,advmod,doing,far,far,f,far,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,9,7,1,9,11,0,0,12.7,12.79,null,0,TRUE
66077,NA,9,1,10,1,?,?,?,?,NATHAN;,0,13.16,PUNCT,.,punct,doing,?,?,?,?,FALSE,EndNote,FALSE,FALSE,appeal,NA,0,NA,NA,NA,NA,NA,NA,10,NA,NA,10,11,0,0,12.79,13.16,null,0,TRUE
