X1,Unnamed: 0.1,discoID,uID,wID,turnID,Token_dt1,Token_dft,Word_dt1,Word_dft,speaker,unitStartTime,unitEndTime,partOfSpeech_Spacy,Tag,DepRel_Spacy,Head,Lemma,Norm,Prefix,Suffix,Is Alpha,kind,Is Overlap,Is Lengthened,EndNote,overlap,lag,laugh,unclear,%word,_word,Pseudograph,Pre-phonation,tokenPlace,place,placeBack,turnPlace,unitLenTokens,pause,microPause,wordStart,wordStop,clitic,hostID,timeExact
256319,NA,35,1,1,1,[It,[It,It,It,PATTY;,0,1.02,X,XX,nsubj,'s,it,it,[,[It,FALSE,Word,TRUE,FALSE,NA,[,0,NA,NA,NA,NA,NA,NA,1,1,5,1,7,0,0,0,0.27,host,0,TRUE
256320,NA,35,1,2,1,'s,'s,'s,'s,PATTY;,0,1.02,VERB,VBZ,ccomp,PATTY:,be,is,','s,FALSE,Word,TRUE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,2,2,4,2,7,0,0,0,0.27,clitic,1,TRUE
256321,NA,35,1,3,1,not,not,not,not,PATTY;,0,1.02,ADV,RB,neg,'s,not,not,n,not,TRUE,Word,TRUE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,3,3,3,3,7,0,0,0.27,0.49,null,0,TRUE
256322,NA,35,1,4,1,that,that,that,that,PATTY;,0,1.02,ADV,RB,advmod,bad,that,that,t,hat,TRUE,Word,TRUE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,4,4,2,4,7,0,0,0.49,0.65,null,0,TRUE
256323,NA,35,1,5,1,bad,bad,bad,bad,PATTY;,0,1.02,ADJ,JJ,acomp,'s,bad,bad,b,bad,TRUE,Word,TRUE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,5,5,1,5,7,0,0,0.65,0.65,null,0,FALSE
256324,NA,35,1,6,1,",",",",",",",",PATTY;,0,1.02,PUNCT,",",punct,'s,",",",",",",",",FALSE,EndNote,TRUE,FALSE,continuing,NA,0,NA,NA,NA,NA,NA,NA,6,NA,NA,6,7,0,0,0.65,0.7,null,0,TRUE
256325,NA,35,1,7,1,"
","
",NA,NA,PATTY;,0,1.02,SPACE,_SP,NA,",","
","
","
","
",FALSE,Newline,TRUE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,7,NA,NA,7,7,0,0,1,1.02,null,0,TRUE
256326,NA,35,2,8,2,[X,[#,X,NA,DALE;,0,0.719,X,XX,pobj,'s,[x,[x,[,[X,FALSE,Word,TRUE,FALSE,NA,],0,NA,NA,NA,NA,NA,NA,1,1,3,1,5,0,0,0,0.719,null,0,FALSE
256327,NA,35,2,9,2,something,something,something,something,DALE;,0,0.719,NOUN,NN,attr,'s,something,something,s,ing,TRUE,Word,TRUE,FALSE,NA,[,0,NA,NA,NA,NA,NA,NA,2,2,2,2,5,0,0,0.719,0.719,null,0,FALSE
256328,NA,35,2,10,2,else,else,else,else,DALE;,0,0.719,ADV,RB,advmod,something,else,else,e,lse,TRUE,Word,TRUE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,3,3,1,3,5,0,0,0.719,0.719,null,0,FALSE
