X1,Unnamed: 0.1,discoID,uID,wID,turnID,Token_dt1,Token_dft,Word_dt1,Word_dft,speaker,unitStartTime,unitEndTime,partOfSpeech_Spacy,Tag,DepRel_Spacy,Head,Lemma,Norm,Prefix,Suffix,Is Alpha,kind,Is Overlap,Is Lengthened,EndNote,overlap,lag,laugh,unclear,%word,_word,Pseudograph,Pre-phonation,tokenPlace,place,placeBack,turnPlace,unitLenTokens,pause,microPause,wordStart,wordStop,clitic,hostID,timeExact
35146,NA,5,1,1,1,But,But,But,But,DARRYL;,0,3.46,CCONJ,CC,cc,0,but,but,B,But,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,1,1,1,1,3,0,0,1.93,2.41,null,0,TRUE
35147,NA,5,1,2,1,",",",",",",",",DARRYL;,0,3.46,PUNCT,",",punct,0,",",",",",",",",FALSE,EndNote,FALSE,FALSE,continuing,NA,0,NA,NA,NA,NA,NA,NA,2,NA,NA,2,3,0,0,2.41,3.46,null,0,TRUE
35148,NA,5,1,3,1,"
","
",NA,NA,DARRYL;,0,3.46,SPACE,_SP,NA,",","
","
","
","
",FALSE,Newline,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,3,NA,NA,3,3,0,0,3.46,3.46,null,0,TRUE
35149,NA,5,2,4,1,..,â€¥,NA,NA,DARRYL;,3.46,6.71,PUNCT,NFP,punct,6.71,..,..,.,..,FALSE,Pause,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,4,18,0,1,3.46,3.46,null,0,TRUE
35150,NA,5,2,5,1,but,but,but,but,DARRYL;,3.46,6.71,CCONJ,CC,cc,6.71,but,but,b,but,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,2,1,14,5,18,0,0,3.46,3.66,null,0,TRUE
35151,NA,5,2,6,1,to,to,to,to,DARRYL;,3.46,6.71,PART,TO,aux,try,to,to,t,to,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,3,2,13,6,18,0,0,3.66,3.78,null,0,TRUE
35152,NA,5,2,7,1,try,try,try,try,DARRYL;,3.46,6.71,VERB,VB,conj,6.71,try,try,t,try,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,4,3,12,7,18,0,0,3.78,4.15,null,0,TRUE
35153,NA,5,2,8,1,and,and,and,and,DARRYL;,3.46,6.71,CCONJ,CC,cc,try,and,and,a,and,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,5,4,11,8,18,0,0,4.15,4.33,null,0,TRUE
35154,NA,5,2,9,1,..,â€¥,NA,NA,DARRYL;,3.46,6.71,PUNCT,NFP,punct,try,..,..,.,..,FALSE,Pause,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,6,NA,NA,9,18,0,1,4.33,4.33,null,0,TRUE
35155,NA,5,2,10,1,and,and,and,and,DARRYL;,3.46,6.71,CCONJ,CC,cc,try,and,and,a,and,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,7,5,10,10,18,0,0,4.33,4.56,null,0,TRUE
35156,NA,5,2,11,1,talk,talk,talk,talk,DARRYL;,3.46,6.71,VERB,VB,conj,try,talk,talk,t,alk,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,8,6,9,11,18,0,0,4.56,4.91,null,0,TRUE
35157,NA,5,2,12,1,me,me,me,me,DARRYL;,3.46,6.71,PRON,PRP,dobj,talk,-PRON-,me,m,me,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,9,7,8,12,18,0,0,4.91,5.07,null,0,TRUE
35158,NA,5,2,13,1,out,out,out,out,DARRYL;,3.46,6.71,ADP,IN,prep,talk,out,out,o,out,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,10,8,7,13,18,0,0,5.07,5.21,null,0,TRUE
35159,NA,5,2,14,1,of,of,of,of,DARRYL;,3.46,6.71,ADP,IN,prep,out,of,of,o,of,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,11,9,6,14,18,0,0,5.21,5.3,null,0,TRUE
35160,NA,5,2,15,1,believing,believing,believing,believing,DARRYL;,3.46,6.71,VERB,VBG,pcomp,of,believe,believing,b,ing,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,12,10,5,15,18,0,0,5.3,5.77,null,0,TRUE
35161,NA,5,2,16,1,in,in,in,in,DARRYL;,3.46,6.71,ADP,IN,prep,believing,in,in,i,in,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,13,11,4,16,18,0,0,5.77,5.88,null,0,TRUE
35162,NA,5,2,17,1,Murphy,Murphy,Murphy,Murphy,DARRYL;,3.46,6.71,PROPN,NNP,poss,Law,murphy,murphy,M,phy,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,14,12,3,17,18,0,0,5.88,6.44,host,0,TRUE
35163,NA,5,2,18,1,'s,'s,'s,'s,DARRYL;,3.46,6.71,PART,POS,case,Murphy,[GENITIVE],[GENITIVE],','s,FALSE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,15,13,2,18,18,0,0,5.88,6.44,clitic,17,TRUE
35164,NA,5,2,19,1,Law,Law,Law,Law,DARRYL;,3.46,6.71,PROPN,NNP,pobj,in,Law,law,L,Law,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,16,14,1,19,18,0,0,6.44,6.7,null,0,TRUE
35165,NA,5,2,20,1,",",",",",",",",DARRYL;,3.46,6.71,PUNCT,",",punct,6.71,",",",",",",",",FALSE,EndNote,FALSE,FALSE,continuing,NA,0,NA,NA,NA,NA,NA,NA,17,NA,NA,20,18,0,0,6.7,6.710023,null,0,TRUE
35166,NA,5,2,21,1,"
","
",NA,NA,DARRYL;,3.46,6.71,SPACE,_SP,NA,",","
","
","
","
",FALSE,Newline,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,18,NA,NA,21,18,0,0,6.71,6.71,null,0,TRUE
35167,NA,5,3,22,1,by,by,by,by,DARRYL;,6.71,9.07,ADP,IN,prep,6.71,by,by,b,by,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,1,1,7,22,9,0,0,6.71,6.83,null,0,TRUE
35168,NA,5,3,23,1,offering,offering,offering,offering,DARRYL;,6.71,9.07,VERB,VBG,pcomp,by,offer,offering,o,ing,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,2,2,6,23,9,0,0,6.83,7.45,null,0,TRUE
35169,NA,5,3,24,1,a,a,a,a,DARRYL;,6.71,9.07,DET,DT,det,miracle,a,a,a,a,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,3,3,5,24,9,0,0,7.45,7.5,null,0,TRUE
35170,NA,5,3,25,1,miracle,miracle,miracle,miracle,DARRYL;,6.71,9.07,NOUN,NN,dobj,offering,miracle,miracle,m,cle,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,4,4,4,25,9,0,0,7.5,8.190001,null,0,TRUE
35171,NA,5,3,26,1,as,as,as,as,DARRYL;,6.71,9.07,ADP,IN,prep,offering,as,as,a,as,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,5,5,3,26,9,0,0,8.190001,8.34,null,0,TRUE
35172,NA,5,3,27,1,a,a,a,a,DARRYL;,6.71,9.07,DET,DT,det,replacement,a,a,a,a,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,6,6,2,27,9,0,0,8.34,8.38,null,0,TRUE
35173,NA,5,3,28,1,replacement,replacement,replacement,replacement,DARRYL;,6.71,9.07,NOUN,NN,pobj,as,replacement,replacement,r,ent,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,7,7,1,28,9,0,0,8.38,9.069955,null,0,TRUE
