X1,Unnamed: 0.1,discoID,uID,wID,turnID,Token_dt1,Token_dft,Word_dt1,Word_dft,speaker,unitStartTime,unitEndTime,partOfSpeech_Spacy,Tag,DepRel_Spacy,Head,Lemma,Norm,Prefix,Suffix,Is Alpha,kind,Is Overlap,Is Lengthened,EndNote,overlap,lag,laugh,unclear,%word,_word,Pseudograph,Pre-phonation,tokenPlace,place,placeBack,turnPlace,unitLenTokens,pause,microPause,wordStart,wordStop,clitic,hostID,timeExact
308012,NA,42,1,1,1,...,â€¦,NA,NA,KENDRA;,0,2.278,PUNCT,:,punct,do,...,...,.,...,FALSE,Pause,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,1,8,1,0,NA,NA,null,0,TRUE
308013,NA,42,1,2,1,What,What,What,What,KENDRA;,0,2.278,PRON,WP,dobj,do,what,what,W,hat,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,2,1,5,2,8,0,0,0,2.278,null,0,FALSE
308014,NA,42,1,3,1,'d,'d,'d,'d,KENDRA;,0,2.278,VERB,VBD,aux,do,would~have,would~had,','d,FALSE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,3,2,4,3,8,0,0,0,2.278,null,0,FALSE
308015,NA,42,1,4,1,you,you,you,you,KENDRA;,0,2.278,PRON,PRP,nsubj,do,-PRON-,you,y,you,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,4,3,3,4,8,0,0,0,2.278,null,0,FALSE
308016,NA,42,1,5,1,do,do,do,do,KENDRA;,0,2.278,VERB,VB,ccomp,left,do,do,d,do,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,5,4,2,5,8,0,0,0,2.278,null,0,FALSE
308017,NA,42,1,6,1,~Sabrina,~Sabrina,Sabrina,Sabrina,KENDRA;,0,2.278,PUNCT,NFP,punct,do,~Sabrina,~sabrina,~,ina,FALSE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,~,NA,6,5,1,6,8,0,0,0,2.278,null,0,FALSE
308018,NA,42,1,7,1,?,?,?,?,KENDRA;,0,2.278,PUNCT,.,punct,do,?,?,?,?,FALSE,EndNote,FALSE,FALSE,appeal,NA,0,NA,NA,NA,NA,NA,NA,7,NA,NA,7,8,0,0,0,2.278,null,0,FALSE
308019,NA,42,1,8,1,"
","
",NA,NA,KENDRA;,0,2.278,SPACE,_SP,NA,?,"
","
","
","
",FALSE,Newline,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,8,NA,NA,8,8,0,0,0,2.278,null,0,FALSE
308020,NA,42,2,9,2,...,â€¦,NA,NA,SABRINA;,2.278,4.417,PUNCT,:,punct,SABRINA:,...,...,.,...,FALSE,Pause,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,1,4,1,0,2.278,2.278,null,0,TRUE
308021,NA,42,2,10,2,Nothing,Nothing,Nothing,Nothing,SABRINA;,2.278,4.417,NOUN,NN,appos,SABRINA:,Nothing,nothing,N,ing,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,2,1,1,2,4,0,0,2.278,4.398,null,0,TRUE
308022,NA,42,2,11,2,.,.,.,.,SABRINA;,2.278,4.417,PUNCT,.,punct,do,.,.,.,.,FALSE,EndNote,FALSE,FALSE,final,NA,0,NA,NA,NA,NA,NA,NA,3,NA,NA,3,4,0,0,4.417,4.687,null,0,TRUE
308023,NA,42,2,12,2,"
","
",NA,NA,SABRINA;,2.278,4.417,SPACE,_SP,NA,.,"
","
","
","
",FALSE,Newline,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,4,NA,NA,4,4,0,0,4.687,4.687,null,0,TRUE
308024,NA,42,3,13,2,...,â€¦,NA,NA,SABRINA;,4.417,5.927,PUNCT,:,punct,left,...,...,.,...,FALSE,Pause,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,5,13,1,0,4.687,4.687,null,0,TRUE
308025,NA,42,3,14,2,I,I,I,I,SABRINA;,4.417,5.927,PRON,PRP,nsubj,left,-PRON-,i,I,I,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,2,1,9,6,13,0,0,4.687,4.807,null,0,TRUE
308026,NA,42,3,15,2,left,left,left,left,SABRINA;,4.417,5.927,VERB,VBD,ccomp,thinks,leave,left,l,eft,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,3,2,8,7,13,0,0,4.807,4.997,null,0,TRUE
