X1,Unnamed: 0.1,discoID,uID,wID,turnID,Token_dt1,Token_dft,Word_dt1,Word_dft,speaker,unitStartTime,unitEndTime,partOfSpeech_Spacy,Tag,DepRel_Spacy,Head,Lemma,Norm,Prefix,Suffix,Is Alpha,kind,Is Overlap,Is Lengthened,EndNote,overlap,lag,laugh,unclear,%word,_word,Pseudograph,Pre-phonation,tokenPlace,place,placeBack,turnPlace,unitLenTokens,pause,microPause,wordStart,wordStop,clitic,hostID,timeExact
235750,NA,32,1,1,1,You,You,You,You,TUCKER;,0,0.613,PRON,PRP,nmod,guys,-PRON-,you,Y,You,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,1,1,3,1,5,0,0,0,0.13,null,0,TRUE
235751,NA,32,1,2,1,guys,guys,guys,guys,TUCKER;,0,0.613,NOUN,NNS,npadvmod,TUCKER:,guy,guys,g,uys,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,2,2,2,2,5,0,0,0.13,0.39,null,0,TRUE
235752,NA,32,1,3,1,all,all,all,all,TUCKER;,0,0.613,DET,DT,appos,guys,all,all,a,all,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,3,3,1,3,5,0,0,0.39,0.59,null,0,TRUE
235753,NA,32,1,4,1,--,â€”,--,â€”,TUCKER;,0,0.613,PUNCT,:,punct,TUCKER:,--,-,-,--,FALSE,EndNote,FALSE,FALSE,break,NA,0,NA,NA,NA,NA,NA,NA,4,NA,NA,4,5,0,0,0.59,0.6130159,null,0,TRUE
235754,NA,32,1,5,1,"
","
",NA,NA,TUCKER;,0,0.613,SPACE,_SP,NA,--,"
","
","
","
",FALSE,Newline,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,5,NA,NA,5,5,0,0,0.6429999,0.6429999,null,0,TRUE
235755,NA,32,2,6,1,All,All,All,All,TUCKER;,0.613,1.623,DET,DT,nsubj,drinking,all,all,A,All,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,1,1,5,6,7,0,0,0.6429999,0.823,null,0,TRUE
235756,NA,32,2,7,1,drinking,drinking,drinking,drinking,TUCKER;,0.613,1.623,VERB,VBG,ccomp,TUCKER:,drink,drinking,d,ing,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,2,2,4,7,7,0,0,0.823,1.103,null,0,TRUE
235757,NA,32,2,8,1,the,the,the,the,TUCKER;,0.613,1.623,DET,DT,det,thing,the,the,t,the,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,3,3,3,8,7,0,0,1.103,1.173,null,0,TRUE
235758,NA,32,2,9,1,same,same,same,same,TUCKER;,0.613,1.623,ADJ,JJ,amod,thing,same,same,s,ame,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,4,4,2,9,7,0,0,1.173,1.403,null,0,TRUE
235759,NA,32,2,10,1,thing,thing,thing,thing,TUCKER;,0.613,1.623,NOUN,NN,dobj,drinking,thing,thing,t,ing,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,5,5,1,10,7,0,0,1.403,1.553,null,0,TRUE
235760,NA,32,2,11,1,?,?,?,?,TUCKER;,0.613,1.623,PUNCT,.,punct,TUCKER:,?,?,?,?,FALSE,EndNote,FALSE,FALSE,appeal,NA,0,NA,NA,NA,NA,NA,NA,6,NA,NA,11,7,0,0,1.553,1.622977,null,0,TRUE
235761,NA,32,2,12,1,"
","
",NA,NA,TUCKER;,0.613,1.623,SPACE,_SP,NA,?,"
","
","
","
",FALSE,Newline,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,7,NA,NA,12,7,0,0,1.553,1.622977,null,0,FALSE
235762,NA,32,3,13,2,..,â€¥,NA,NA,TOM_3;,1.623,2.211,PUNCT,NFP,punct,M-m,..,..,.,..,FALSE,Pause,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,1,4,0,1,1.983,1.983,null,0,TRUE
235763,NA,32,3,14,2,M-m,M-m,M-m,M-m,TOM_3;,1.623,2.211,NOUN,NN,npadvmod,TUCKER:,m-m,m-m,M,M-m,FALSE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,2,1,1,2,4,0,0,1.983,2.193,null,0,TRUE
