X1,Unnamed: 0.1,discoID,uID,wID,turnID,Token_dt1,Token_dft,Word_dt1,Word_dft,speaker,unitStartTime,unitEndTime,partOfSpeech_Spacy,Tag,DepRel_Spacy,Head,Lemma,Norm,Prefix,Suffix,Is Alpha,kind,Is Overlap,Is Lengthened,EndNote,overlap,lag,laugh,unclear,%word,_word,Pseudograph,Pre-phonation,tokenPlace,place,placeBack,turnPlace,unitLenTokens,pause,microPause,wordStart,wordStop,clitic,hostID,timeExact
166210,NA,22,1,1,1,...,â€¦,NA,NA,RANDY;,2.835,4.073,PUNCT,NFP,punct,4.073,...,...,.,...,FALSE,Pause,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,1,8,1,0,3.185,3.185,null,0,TRUE
166211,NA,22,1,2,1,(H),(H),(H),(H),RANDY;,2.835,4.073,PUNCT,-LRB-,punct,4.073,(H),(h),(,(H),FALSE,Vocalism,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,2,NA,NA,2,8,0,0,3.185,3.185,null,0,TRUE
166212,NA,22,1,3,1,%=,(%):,%,%,RANDY;,2.835,4.073,INTJ,UH,intj,know,%=,%=,%,%=,FALSE,Vocalism,FALSE,TRUE,NA,NA,1,NA,NA,NA,NA,NA,NA,3,NA,NA,3,8,0,0,3.185,3.185,null,0,TRUE
166213,NA,22,1,4,1,You,You,You,You,RANDY;,2.835,4.073,PRON,PRP,nsubj,know,-PRON-,you,Y,You,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,4,1,4,4,8,0,0,3.185,3.415,null,0,TRUE
166214,NA,22,1,5,1,know,know,know,know,RANDY;,2.835,4.073,VERB,VBP,parataxis,"'s=,",know,know,k,now,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,5,2,3,5,8,0,0,3.415,3.585,null,0,TRUE
166215,NA,22,1,6,1,it,it,it,it,RANDY;,2.835,4.073,PRON,PRP,dobj,know,it,it,i,it,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,6,3,2,6,8,0,0,3.585,4.055,host,0,TRUE
166216,NA,22,1,7,1,"'s=,","'s:,",'s,'s,RANDY;,2.835,4.073,VERB,VBZ,appos,4.073,be,is,',"s=,",FALSE,Word,FALSE,TRUE,NA,NA,1,NA,NA,NA,NA,NA,NA,7,4,1,7,8,0,0,3.585,4.055,clitic,6,TRUE
166217,NA,22,1,8,1,"
","
",NA,NA,RANDY;,2.835,4.073,SPACE,_SP,NA,"'s=,","
","
","
","
",FALSE,Newline,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,8,NA,NA,8,8,0,0,4.055,4.073005,null,0,TRUE
166218,NA,22,2,9,1,..,â€¥,NA,NA,RANDY;,4.073,6.874,PUNCT,NFP,punct,was,..,..,.,..,FALSE,Pause,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,9,10,0,1,4.173,4.173,null,0,TRUE
166219,NA,22,2,10,1,it,it,it,it,RANDY;,4.073,6.874,PRON,PRP,nsubj,was,-PRON-,it,i,it,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,2,1,7,10,10,0,0,4.173,4.263,null,0,TRUE
166220,NA,22,2,11,1,was,was,was,was,RANDY;,4.073,6.874,VERB,VBD,acl,4.073,be,was,w,was,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,3,2,6,11,10,0,0,4.263,4.353,null,0,TRUE
166221,NA,22,2,12,1,really,really,really,really,RANDY;,4.073,6.874,ADV,RB,advmod,was,really,really,r,lly,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,4,3,5,12,10,0,0,4.353,4.633,null,0,TRUE
166222,NA,22,2,13,1,pretty,pretty,pretty,pretty,RANDY;,4.073,6.874,ADV,RB,advmod,straightforward,pretty,pretty,p,tty,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,5,4,4,13,10,0,0,4.633,4.853,null,0,TRUE
166223,NA,22,2,14,1,straightforward,straightforward,straightforward,straightforward,RANDY;,4.073,6.874,ADJ,JJ,acomp,was,straightforward,straightforward,s,ard,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,6,5,3,14,10,0,0,4.853,5.453,null,0,TRUE
166224,NA,22,2,15,1,this,this,this,this,RANDY;,4.073,6.874,DET,DT,det,[morning],this,this,t,his,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,7,6,2,15,10,0,0,5.453,5.643,null,0,TRUE
166225,NA,22,2,16,1,[morning],[morning],morning,morning,RANDY;,4.073,6.874,X,XX,npadvmod,was,[morning],[morning],[,ng],FALSE,Word,TRUE,FALSE,NA,[],0,NA,NA,NA,NA,NA,NA,8,7,1,16,10,0,0,5.643,6.023,null,0,TRUE
166226,NA,22,2,17,1,.,.,.,.,RANDY;,4.073,6.874,PUNCT,.,punct,was,.,.,.,.,FALSE,EndNote,FALSE,FALSE,final,NA,0,NA,NA,NA,NA,NA,NA,9,NA,NA,17,10,0,0,6.023,6.873998,null,0,TRUE
166227,NA,22,2,18,1,"
","
",NA,NA,RANDY;,4.073,6.874,SPACE,_SP,NA,.,"
","
","
","
",FALSE,Newline,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,10,NA,NA,18,10,0,0,6.023,6.873998,null,0,FALSE
166228,NA,22,3,19,2,[(H)],[(H)],(H),(H),LANCE;,6.518,7.163,X,XX,punct,4.073,[(h)],[(h)],[,H)],FALSE,Vocalism,TRUE,FALSE,NA,[],0,NA,NA,NA,NA,NA,NA,1,NA,NA,1,2,0,0,NA,NA,null,0,TRUE
166229,NA,22,3,20,2,"
","
",NA,NA,LANCE;,6.518,7.163,SPACE,_SP,NA,[(H)],"
","
","
","
",FALSE,Newline,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,2,NA,NA,2,2,0,0,6.518,7.163,null,0,FALSE
166230,NA,22,4,21,3,...,â€¦,NA,NA,RANDY;,7.163,7.927,PUNCT,NFP,punct,RANDY:,...,...,.,...,FALSE,Pause,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,1,6,1,0,7.343,7.343,null,0,TRUE
166231,NA,22,4,22,3,(H),(H),(H),(H),RANDY;,7.163,7.927,X,XX,punct,4.073,(h),(h),(,(H),FALSE,Vocalism,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,2,NA,NA,2,6,0,0,7.343,7.343,null,0,TRUE
166232,NA,22,4,23,3,..,â€¥,NA,NA,RANDY;,7.163,7.927,PUNCT,.,punct,4.073,..,..,.,..,FALSE,Pause,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,3,NA,NA,3,6,0,1,7.343,7.343,null,0,TRUE
166233,NA,22,4,24,3,And,And,And,And,RANDY;,7.163,7.927,CCONJ,CC,cc,4.073,and,and,A,And,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,4,1,1,4,6,0,0,7.343,7.593,null,0,TRUE
166234,NA,22,4,25,3,",",",",",",",",RANDY;,7.163,7.927,PUNCT,",",punct,9.43,",",",",",",",",FALSE,EndNote,FALSE,FALSE,continuing,NA,0,NA,NA,NA,NA,NA,NA,5,NA,NA,5,6,0,0,8.985,8.985,null,0,TRUE
166235,NA,22,4,26,3,"
","
",NA,NA,RANDY;,7.163,7.927,SPACE,_SP,NA,",","
","
","
","
",FALSE,Newline,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,6,NA,NA,6,6,0,0,8.985,8.985,null,0,TRUE
166236,NA,22,5,27,3,...,â€¦,NA,NA,RANDY;,8.795,9.43,PUNCT,.,punct,y-,...,...,.,...,FALSE,Pause,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,7,5,1,0,8.985,8.985,null,0,TRUE
166237,NA,22,5,28,3,y-,yâ€“,y-,y,RANDY;,8.795,9.43,X,XX,appos,4.073,y-,y-,y,y-,FALSE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,2,1,2,8,5,0,0,8.985,9.045,null,0,TRUE
166238,NA,22,5,29,3,z-,zâ€“,z-,z,RANDY;,8.795,9.43,X,XX,appos,4.073,z-,z-,z,z-,FALSE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,3,2,1,9,5,0,0,9.045,9.105,null,0,TRUE
166239,NA,22,5,30,3,--,â€”,--,â€”,RANDY;,8.795,9.43,PUNCT,:,punct,4.073,--,-,-,--,FALSE,EndNote,FALSE,FALSE,break,NA,0,NA,NA,NA,NA,NA,NA,4,NA,NA,10,5,0,0,9.105,9.430012,null,0,TRUE
