X1,Unnamed: 0.1,discoID,uID,wID,turnID,Token_dt1,Token_dft,Word_dt1,Word_dft,speaker,unitStartTime,unitEndTime,partOfSpeech_Spacy,Tag,DepRel_Spacy,Head,Lemma,Norm,Prefix,Suffix,Is Alpha,kind,Is Overlap,Is Lengthened,EndNote,overlap,lag,laugh,unclear,%word,_word,Pseudograph,Pre-phonation,tokenPlace,place,placeBack,turnPlace,unitLenTokens,pause,microPause,wordStart,wordStop,clitic,hostID,timeExact
288213,NA,39,1,1,1,...,â€¦,NA,NA,KIRSTEN;,0,1.418,PUNCT,NFP,punct,KIRSTEN:,...,...,.,...,FALSE,Pause,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,1,5,1,0,0,1.418,null,0,FALSE
288214,NA,39,1,2,1,(TSK),(TSK),(TSK),(TSK),KIRSTEN;,0,1.418,CCONJ,CC,intj,KIRSTEN:,(tsk),(tsk),(,SK),FALSE,Vocalism,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,2,NA,NA,2,5,0,0,1.418,1.418,null,0,FALSE
288215,NA,39,1,3,1,U=m,U:m,Um,Um,KIRSTEN;,0,1.418,PROPN,NNP,npadvmod,(TSK),U=m,u=m,U,U=m,FALSE,Word,FALSE,TRUE,NA,NA,1,NA,NA,NA,NA,NA,NA,3,1,1,3,5,0,0,1.418,1.418,null,0,FALSE
288216,NA,39,1,4,1,",",",",",",",",KIRSTEN;,0,1.418,PUNCT,",",punct,2.797,",",",",",",",",FALSE,EndNote,FALSE,FALSE,continuing,NA,0,NA,NA,NA,NA,NA,NA,4,NA,NA,4,5,0,0,1.418,1.418,null,0,FALSE
288217,NA,39,1,5,1,"
","
",NA,NA,KIRSTEN;,0,1.418,SPACE,_SP,NA,",","
","
","
","
",FALSE,Newline,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,5,NA,NA,5,5,0,0,1.418,1.418,null,0,FALSE
288218,NA,39,2,6,1,...,â€¦,NA,NA,KIRSTEN;,1.418,2.797,PUNCT,NFP,punct,2.797,...,...,.,...,FALSE,Pause,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,6,6,1,0,1.418,1.418,null,0,FALSE
288219,NA,39,2,7,1,first,first,first,first,KIRSTEN;,1.418,2.797,ADV,RB,advmod,2.797,first,first,f,rst,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,2,1,3,7,6,0,0,1.418,2.288,null,0,TRUE
288220,NA,39,2,8,1,of,of,of,of,KIRSTEN;,1.418,2.797,ADP,IN,prep,first,of,of,o,of,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,3,2,2,8,6,0,0,2.288,2.378,null,0,TRUE
288221,NA,39,2,9,1,all,all,all,all,KIRSTEN;,1.418,2.797,DET,DT,pobj,of,all,all,a,all,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,4,3,1,9,6,0,0,2.378,2.778,null,0,TRUE
288222,NA,39,2,10,1,",",",",",",",",KIRSTEN;,1.418,2.797,PUNCT,",",punct,KIRSTEN:,",",",",",",",",FALSE,EndNote,FALSE,FALSE,continuing,NA,0,NA,NA,NA,NA,NA,NA,5,NA,NA,10,6,0,0,2.778,2.797,null,0,FALSE
288223,NA,39,2,11,1,"
","
",NA,NA,KIRSTEN;,1.418,2.797,SPACE,_SP,NA,",","
","
","
","
",FALSE,Newline,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,6,NA,NA,11,6,0,0,2.797,2.797,null,0,FALSE
288224,NA,39,3,12,1,maybe,maybe,maybe,maybe,KIRSTEN;,2.797,4.012,ADV,RB,advmod,guys,maybe,maybe,m,ybe,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,1,1,3,12,5,0,0,2.797,3.137,null,0,TRUE
288225,NA,39,3,13,1,you,you,you,you,KIRSTEN;,2.797,4.012,PRON,PRP,nmod,guys,-PRON-,you,y,you,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,2,2,2,13,5,0,0,3.137,3.197,null,0,TRUE
288226,NA,39,3,14,1,guys,guys,guys,guys,KIRSTEN;,2.797,4.012,NOUN,NNS,appos,KIRSTEN:,guy,guys,g,uys,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,3,3,1,14,5,0,0,3.197,3.997,null,0,TRUE
288227,NA,39,3,15,1,",",",",",",",",KIRSTEN;,2.797,4.012,PUNCT,",",punct,guys,",",",",",",",",FALSE,EndNote,FALSE,FALSE,continuing,NA,0,NA,NA,NA,NA,NA,NA,4,NA,NA,15,5,0,0,3.997,4.012012,null,0,TRUE
288228,NA,39,3,16,1,"
","
",NA,NA,KIRSTEN;,2.797,4.012,SPACE,_SP,NA,",","
","
","
","
",FALSE,Newline,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,5,NA,NA,16,5,0,0,3.997,4.012012,null,0,TRUE
288229,NA,39,4,17,1,..,â€¥,NA,NA,KIRSTEN;,4.012,5.477,PUNCT,NFP,punct,5.477,..,..,.,..,FALSE,Pause,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,17,6,0,1,4.012012,4.262,null,0,FALSE
288230,NA,39,4,18,1,can,can,can,can,KIRSTEN;,4.012,5.477,VERB,MD,aux,tell,can,can,c,can,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,2,1,3,18,6,0,0,4.262,4.262,null,0,FALSE
288231,NA,39,4,19,1,tell,tell,tell,tell,KIRSTEN;,4.012,5.477,VERB,VB,acl,guys,tell,tell,t,ell,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,3,2,2,19,6,0,0,4.262,4.742,null,0,TRUE
288232,NA,39,4,20,1,me=,me:,me,me,KIRSTEN;,4.012,5.477,PROPN,NNP,dobj,tell,me=,me=,m,me=,FALSE,Word,FALSE,TRUE,NA,NA,1,NA,NA,NA,NA,NA,NA,4,3,1,20,6,0,0,4.782,5.312,null,0,TRUE
288233,NA,39,4,21,1,",",",",",",",",KIRSTEN;,4.012,5.477,PUNCT,",",punct,tell,",",",",",",",",FALSE,EndNote,FALSE,FALSE,continuing,NA,0,NA,NA,NA,NA,NA,NA,5,NA,NA,21,6,0,0,5.477,6.047,null,0,TRUE
288234,NA,39,4,22,1,"
","
",NA,NA,KIRSTEN;,4.012,5.477,SPACE,_SP,NA,",","
","
","
","
",FALSE,Newline,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,6,NA,NA,22,6,0,0,5.477,6.047,null,0,TRUE
288235,NA,39,5,23,1,...,â€¦,NA,NA,KIRSTEN;,5.477,7.512,PUNCT,NFP,punct,tell,...,...,.,...,FALSE,Pause,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,23,10,1,0,6.047,6.047,null,0,FALSE
288236,NA,39,5,24,1,we,we,we,we,KIRSTEN;,5.477,7.512,PRON,PRP,nsubj,talked,-PRON-,we,w,we,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,2,1,7,24,10,0,0,6.047,6.157,null,0,TRUE
288237,NA,39,5,25,1,talked,talked,talked,talked,KIRSTEN;,5.477,7.512,VERB,VBD,ccomp,tell,talk,talked,t,ked,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,3,2,6,25,10,0,0,6.157,6.477,null,0,TRUE
288238,NA,39,5,26,1,a,a,a,a,KIRSTEN;,5.477,7.512,DET,DT,det,bit,a,a,a,a,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,4,3,5,26,10,0,0,6.477,6.527,null,0,TRUE
288239,NA,39,5,27,1,little,little,little,little,KIRSTEN;,5.477,7.512,ADJ,JJ,amod,bit,little,little,l,tle,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,5,4,4,27,10,0,0,6.577,6.817,null,0,TRUE
288240,NA,39,5,28,1,bit,bit,bit,bit,KIRSTEN;,5.477,7.512,NOUN,NN,npadvmod,talked,bit,bit,b,bit,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,6,5,3,28,10,0,0,6.817,6.937,null,0,TRUE
288241,NA,39,5,29,1,about,about,about,about,KIRSTEN;,5.477,7.512,ADP,IN,prep,talked,about,about,a,out,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,7,6,2,29,10,0,0,6.937,7.327,null,0,TRUE
288242,NA,39,5,30,1,it,it,it,it,KIRSTEN;,5.477,7.512,PRON,PRP,pobj,about,-PRON-,it,i,it,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,8,7,1,30,10,0,0,7.327,7.497,null,0,TRUE
288243,NA,39,5,31,1,",",",",",",",",KIRSTEN;,5.477,7.512,PUNCT,",",punct,guys,",",",",",",",",FALSE,EndNote,FALSE,FALSE,continuing,NA,0,NA,NA,NA,NA,NA,NA,9,NA,NA,31,10,0,0,7.497,7.512012,null,0,TRUE
288244,NA,39,5,32,1,"
","
",NA,NA,KIRSTEN;,5.477,7.512,SPACE,_SP,NA,",","
","
","
","
",FALSE,Newline,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,10,NA,NA,32,10,0,0,7.497,7.512012,null,0,TRUE
288245,NA,39,6,33,1,last,last,last,last,KIRSTEN;,7.512,8.814,ADJ,JJ,amod,time,last,last,l,ast,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,1,1,5,33,7,0,0,7.512012,7.802,null,0,FALSE
288246,NA,39,6,34,1,time,time,time,time,KIRSTEN;,7.512,8.814,NOUN,NN,npadvmod,8.814,time,time,t,ime,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,2,2,4,34,7,0,0,7.802,8.012,null,0,TRUE
288247,NA,39,6,35,1,you,you,you,you,KIRSTEN;,7.512,8.814,PRON,PRP,nsubj,were,-PRON-,you,y,you,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,3,3,3,35,7,0,0,8.012,8.152,null,0,TRUE
288248,NA,39,6,36,1,were,were,were,were,KIRSTEN;,7.512,8.814,VERB,VBD,relcl,8.814,be,were,w,ere,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,4,4,2,36,7,0,0,8.152,8.262,null,0,TRUE
288249,NA,39,6,37,1,here,here,here,here,KIRSTEN;,7.512,8.814,ADV,RB,advmod,were,here,here,h,ere,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,5,5,1,37,7,0,0,8.262,8.792,null,0,TRUE
288250,NA,39,6,38,1,?,?,?,?,KIRSTEN;,7.512,8.814,PUNCT,.,punct,KIRSTEN:,?,?,?,?,FALSE,EndNote,FALSE,FALSE,appeal,NA,0,NA,NA,NA,NA,NA,NA,6,NA,NA,38,7,0,0,8.792,8.813995,null,0,TRUE
288251,NA,39,6,39,1,"
","
",NA,NA,KIRSTEN;,7.512,8.814,SPACE,_SP,NA,?,"
","
","
","
",FALSE,Newline,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,7,NA,NA,39,7,0,0,8.792,8.813995,null,0,TRUE
288252,NA,39,7,40,1,Or,Or,Or,Or,KIRSTEN;,8.814,9.717,CCONJ,CC,cc,did,or,or,O,Or,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,1,1,4,40,6,0,0,8.813995,9.004,null,0,FALSE
288253,NA,39,7,41,1,did,did,did,did,KIRSTEN;,8.814,9.717,VERB,VBD,punct,KIRSTEN:,do,did,d,did,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,2,2,3,41,6,0,0,9.004,9.194,null,0,TRUE
288254,NA,39,7,42,1,we,we,we,we,KIRSTEN;,8.814,9.717,PRON,PRP,nsubj,did,-PRON-,we,w,we,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,3,3,2,42,6,0,0,9.194,9.334,null,0,TRUE
288255,NA,39,7,43,1,not,not,not,not,KIRSTEN;,8.814,9.717,ADV,RB,neg,did,not,not,n,not,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,4,4,1,43,6,0,0,9.334,9.704,null,0,TRUE
