X1,Unnamed: 0.1,discoID,uID,wID,turnID,Token_dt1,Token_dft,Word_dt1,Word_dft,speaker,unitStartTime,unitEndTime,partOfSpeech_Spacy,Tag,DepRel_Spacy,Head,Lemma,Norm,Prefix,Suffix,Is Alpha,kind,Is Overlap,Is Lengthened,EndNote,overlap,lag,laugh,unclear,%word,_word,Pseudograph,Pre-phonation,tokenPlace,place,placeBack,turnPlace,unitLenTokens,pause,microPause,wordStart,wordStop,clitic,hostID,timeExact
354993,NA,48,1,1,1,...,â€¦,NA,NA,LEA;,0,1.025,PUNCT,.,punct,LEA:,...,...,.,...,FALSE,Pause,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,1,4,1,0,0,0.75,null,0,TRUE
354994,NA,48,1,2,1,Oh,Oh,Oh,Oh,LEA;,0,1.025,INTJ,UH,intj,2.512,oh,oh,O,Oh,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,2,1,1,2,4,0,0,0.75,1.01,null,0,TRUE
354995,NA,48,1,3,1,",",",",",",",",LEA;,0,1.025,PUNCT,",",punct,2.512,",",",",",",",",FALSE,EndNote,FALSE,FALSE,continuing,NA,0,NA,NA,NA,NA,NA,NA,3,NA,NA,3,4,0,0,1.01,1.024989,null,0,TRUE
354996,NA,48,1,4,1,"
","
",NA,NA,LEA;,0,1.025,SPACE,_SP,NA,",","
","
","
","
",FALSE,Newline,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,4,NA,NA,4,4,0,0,1.024989,1.185,null,0,FALSE
354997,NA,48,2,5,1,that,that,that,that,LEA;,1.025,2.512,DET,WDT,nsubj,'s,that,that,t,hat,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,1,1,5,5,8,0,0,1.185,1.185,null,0,FALSE
354998,NA,48,2,6,1,'s,'s,'s,'s,LEA;,1.025,2.512,VERB,VBZ,relcl,2.512,be,is,','s,FALSE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,2,2,4,6,8,0,0,1.185,1.185,null,0,FALSE
354999,NA,48,2,7,1,a,a,a,a,LEA;,1.025,2.512,DET,DT,det,package,a,a,a,a,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,3,3,3,7,8,0,0,1.185,1.245,null,0,TRUE
355000,NA,48,2,8,1,pretty,pretty,pretty,pretty,LEA;,1.025,2.512,ADV,RB,amod,package,pretty,pretty,p,tty,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,4,4,2,8,8,0,0,1.345,1.675,null,0,TRUE
355001,NA,48,2,9,1,..,â€¥,NA,NA,LEA;,1.025,2.512,PUNCT,NFP,punct,package,..,..,.,..,FALSE,Pause,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,5,NA,NA,9,8,0,1,1.675,1.805,null,0,TRUE
355002,NA,48,2,10,1,package,package,package,package,LEA;,1.025,2.512,NOUN,NN,attr,'s,package,package,p,age,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,6,5,1,10,8,0,0,1.805,2.215,null,0,TRUE
355003,NA,48,2,11,1,.,.,.,.,LEA;,1.025,2.512,PUNCT,.,punct,2.512,.,.,.,.,FALSE,EndNote,FALSE,FALSE,final,NA,0,NA,NA,NA,NA,NA,NA,7,NA,NA,11,8,0,0,2.215,2.215,null,0,FALSE
355004,NA,48,2,12,1,"
","
",NA,NA,LEA;,1.025,2.512,SPACE,_SP,NA,.,"
","
","
","
",FALSE,Newline,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,8,NA,NA,12,8,0,0,2.215,2.215,null,0,FALSE
