X1,Unnamed: 0.1,discoID,uID,wID,turnID,Token_dt1,Token_dft,Word_dt1,Word_dft,speaker,unitStartTime,unitEndTime,partOfSpeech_Spacy,Tag,DepRel_Spacy,Head,Lemma,Norm,Prefix,Suffix,Is Alpha,kind,Is Overlap,Is Lengthened,EndNote,overlap,lag,laugh,unclear,%word,_word,Pseudograph,Pre-phonation,tokenPlace,place,placeBack,turnPlace,unitLenTokens,pause,microPause,wordStart,wordStop,clitic,hostID,timeExact
124382,NA,16,1,1,1,...,â€¦,NA,NA,TAMMY;,0.76,1.735,PUNCT,.,punct,TAMMY:,...,...,.,...,FALSE,Pause,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,1,6,1,0,0.76,0.76,null,0,TRUE
124383,NA,16,1,2,1,Well,Well,Well,Well,TAMMY;,0.76,1.735,INTJ,UH,intj,u=m,well,well,W,ell,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,2,1,2,2,6,0,0,0.76,1.03,null,0,TRUE
124384,NA,16,1,3,1,..,â€¥,NA,NA,TAMMY;,0.76,1.735,PUNCT,NFP,punct,u=m,..,..,.,..,FALSE,Pause,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,3,NA,NA,3,6,0,1,1.03,1.16,null,0,TRUE
124385,NA,16,1,4,1,u=m,u:m,um,um,TAMMY;,0.76,1.735,PROPN,NNP,npadvmod,TAMMY:,u=m,u=m,u,u=m,FALSE,Word,FALSE,TRUE,NA,NA,1,NA,NA,NA,NA,NA,NA,4,2,1,4,6,0,0,1.16,1.63,null,0,TRUE
124386,NA,16,1,5,1,",",",",",",",",TAMMY;,0.76,1.735,PUNCT,",",punct,TAMMY:,",",",",",",",",FALSE,EndNote,FALSE,FALSE,continuing,NA,0,NA,NA,NA,NA,NA,NA,5,NA,NA,5,6,0,0,2.16,2.61,null,0,TRUE
124387,NA,16,1,6,1,"
","
",NA,NA,TAMMY;,0.76,1.735,SPACE,_SP,NA,",","
","
","
","
",FALSE,Newline,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,6,NA,NA,6,6,0,0,2.61,2.61,null,0,TRUE
124388,NA,16,2,7,1,...,â€¦,NA,NA,TAMMY;,2.16,6.13,PUNCT,NFP,punct,6.13,...,...,.,...,FALSE,Pause,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,7,21,1,0,2.61,2.61,null,0,TRUE
124389,NA,16,2,8,1,(TSK),(TSK),(TSK),(TSK),TAMMY;,2.16,6.13,X,XX,npadvmod,TAMMY:,(tsk),(tsk),(,SK),FALSE,Vocalism,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,2,NA,NA,8,21,0,0,2.61,2.61,null,0,TRUE
124390,NA,16,2,9,1,...,â€¦,NA,NA,TAMMY;,2.16,6.13,PUNCT,:,punct,(TSK),...,...,.,...,FALSE,Pause,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,3,NA,NA,9,21,1,0,2.61,2.61,null,0,TRUE
124391,NA,16,2,10,1,I=,I:,I,I,TAMMY;,2.16,6.13,PROPN,NNP,subtok,..,I=,i=,I,I=,FALSE,Word,FALSE,TRUE,NA,NA,1,NA,NA,NA,NA,NA,NA,4,1,14,10,21,0,0,2.61,3.14,null,0,TRUE
124392,NA,16,2,11,1,..,â€¥,NA,NA,TAMMY;,2.16,6.13,PUNCT,NFP,punct,wanted,..,..,.,..,FALSE,Pause,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,5,NA,NA,11,21,0,1,3.14,3.17,null,0,TRUE
124393,NA,16,2,12,1,wanted,wanted,wanted,wanted,TAMMY;,2.16,6.13,VERB,VBD,ccomp,want,want,wanted,w,ted,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,6,2,13,12,21,0,0,3.17,3.55,null,0,TRUE
124394,NA,16,2,13,1,to,to,to,to,TAMMY;,2.16,6.13,PART,TO,aux,say,to,to,t,to,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,7,3,12,13,21,0,0,3.55,3.69,null,0,TRUE
124395,NA,16,2,14,1,say,say,say,say,TAMMY;,2.16,6.13,VERB,VB,xcomp,wanted,say,say,s,say,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,8,4,11,14,21,0,0,3.69,3.98,null,0,TRUE
124396,NA,16,2,15,1,I,I,I,I,TAMMY;,2.16,6.13,PRON,PRP,nsubj,'m,i,i,I,I,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,9,5,10,15,21,0,0,3.98,4.1,host,0,TRUE
124397,NA,16,2,16,1,'m,'m,'m,'m,TAMMY;,2.16,6.13,VERB,VBP,ccomp,say,be,am,','m,FALSE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,10,6,9,16,21,0,0,3.98,4.1,clitic,15,TRUE
124398,NA,16,2,17,1,really,really,really,really,TAMMY;,2.16,6.13,ADV,RB,advmod,happy,really,really,r,lly,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,11,7,8,17,21,0,0,4.18,4.41,null,0,TRUE
