X1,Unnamed: 0.1,discoID,uID,wID,turnID,Token_dt1,Token_dft,Word_dt1,Word_dft,speaker,unitStartTime,unitEndTime,partOfSpeech_Spacy,Tag,DepRel_Spacy,Head,Lemma,Norm,Prefix,Suffix,Is Alpha,kind,Is Overlap,Is Lengthened,EndNote,overlap,lag,laugh,unclear,%word,_word,Pseudograph,Pre-phonation,tokenPlace,place,placeBack,turnPlace,unitLenTokens,pause,microPause,wordStart,wordStop,clitic,hostID,timeExact
91230,NA,13,1,1,1,Is,Is,Is,Is,KEVIN;,0,1.24,VERB,VBZ,ccomp,'m,be,is,I,Is,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,1,1,5,1,7,0,0,0,0.09,null,0,TRUE
91231,NA,13,1,2,1,that,that,that,that,KEVIN;,0,1.24,DET,DT,nsubj,Is,that,that,t,hat,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,2,2,4,2,7,0,0,0.09,0.23,null,0,TRUE
91232,NA,13,1,3,1,just,just,just,just,KEVIN;,0,1.24,ADV,RB,advmod,[carbonated,just,just,j,ust,TRUE,Word,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,3,3,3,3,7,0,0,0.23,0.48,null,0,TRUE
91233,NA,13,1,4,1,[carbonated,[carbonated,carbonated,carbonated,KEVIN;,0,1.24,X,XX,attr,Is,[carbonated,[carbonated,[,ted,FALSE,Word,TRUE,FALSE,NA,],0,NA,NA,NA,NA,NA,NA,4,4,2,4,7,0,0,0.48,0.96,null,0,TRUE
91234,NA,13,1,5,1,water],water],water,water,KEVIN;,0,1.24,NOUN,NNS,attr,Is,water],water],w,er],FALSE,Word,TRUE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,5,5,1,5,7,0,0,0.96,1.22,null,0,TRUE
91235,NA,13,1,6,1,?,?,?,?,KEVIN;,0,1.24,PUNCT,.,punct,0.45,?,?,?,?,FALSE,EndNote,FALSE,FALSE,appeal,],0,NA,NA,NA,NA,NA,NA,6,NA,NA,6,7,0,0,1.22,1.24,null,0,TRUE
91236,NA,13,1,7,1,"
","
",NA,NA,KEVIN;,0,1.24,SPACE,_SP,NA,?,"
","
","
","
",FALSE,Newline,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,7,NA,NA,7,7,0,0,0.48,0.48,null,0,TRUE
91237,NA,13,2,8,2,[No,[No,No,No,WENDY;,0.45,1.24,X,XX,dep,thank,[no,[no,[,[No,FALSE,Word,TRUE,FALSE,NA,],0,NA,NA,NA,NA,NA,NA,1,1,3,1,5,0,0,0.45,0.64,null,0,TRUE
91238,NA,13,2,9,2,thank,thank,thank,thank,WENDY;,0.45,1.24,VERB,VBP,attr,Is,thank,thank,t,ank,TRUE,Word,TRUE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,2,2,2,2,5,0,0,0.64,1.02,null,0,TRUE
91239,NA,13,2,10,2,you],you],you,you,WENDY;,0.45,1.24,NOUN,NN,punct,thank,you],you],y,ou],FALSE,Word,TRUE,FALSE,NA,NA,0,NA,NA,NA,NA,NA,NA,3,3,1,3,5,0,0,1.02,1.19,null,0,TRUE
91240,NA,13,2,11,2,.,.,.,.,WENDY;,0.45,1.24,PUNCT,.,punct,Is,.,.,.,.,FALSE,EndNote,FALSE,FALSE,final,],0,NA,NA,NA,NA,NA,NA,4,NA,NA,4,5,0,0,1.19,1.240023,null,0,TRUE
