Token,Lemma,Transcript,Count,Category,Subcategory,Correction,Special,Two_words,End_tone,Overlap,Lag,@word,#word,%word,_word,Other_symbols,Standoff,Name,Stop_List,[POS]
{ring},,[{ring}]:,1,action,,((CAPS)),quality-start or action?,,,[],lag,,,,,,,,,
{ring},,{ring},6,action,,((CAPS)),quality-start or action?,,,,,,,,,,,,,
{ring},,{ring}[2:],1,action,,((CAPS)),quality-start or action?,,,[],lag,,,,,,,,,
{rumbling_noise},,{rumbling_noise},1,action,,((CAPS)),quality-start or action?,,,,,,,,,,,,,
{slap},,{slap},1,action,,((CAPS)),quality-start or action?,,,,,,,,,,,,,
{slapping},,{slapping},3,action,,((CAPS)),quality-start or action?,,,,,,,,,,,,,
{snap},,{snap},5,action,,((CAPS)),quality-start or action?,,,,,,,,,,,,,
{snapping},,{snapping},1,action,,((CAPS)),quality-start or action?,,,,,,,,,,,,,
{sob},,{sob},1,action,,((CAPS)),quality-start or action?,,,,,,,,,,,,,
{stapl}{/e},,{stapl}{/e},1,action,,((CAPS)),[check],,,,,,,,,,,,,
{stomping},,{stomping},1,action,,((CAPS)),quality-start or action?,,,,,,,,,,,,,
{tap},,{tap},1,action,,((CAPS)),quality-start or action?,,,,,,,,,,,,,
{television},,{television},34,action,,((CAPS)),quality-start or action?,,,,,,,,,,,,,
{thum}{/p},,{thum}{/p},2,action,,((CAPS)),[check],,,,,,,,,,,,,
{thum}{/p},,{thum}{/p}6],1,action,,((CAPS)),[check],,,],,,,,,,,,,
{thump_microphone},,{thump_microphone},1,action,,((CAPS)),quality-start or action?,,,,,,,,,,,,,
{thump},,[{thump},1,action,,((CAPS)),quality-start or action?,,,[,,,,,,,,,,
{thump},,{thump},9,action,,((CAPS)),quality-start or action?,,,,,,,,,,,,,
{thump},,{thump}[:],1,action,,((CAPS)),quality-start or action?,,,[],lag,,,,,,,,,
{vacuum},,[3{vacuum}],1,action,,((CAPS)),quality-start or action?,,,[],,,,,,,,,,
{vacuum},,{vacuum},1,action,,((CAPS)),quality-start or action?,,,,,,,,,,,,,
{water_and_dish_noise},,{water_and_dish_noise},1,action,,((CAPS)),quality-start or action?,,,,,,,,,,,,,
{water_running_and_dish_noise},,{water_running_and_dish_noise},2,action,,((CAPS)),quality-start or action?,,,,,,,,,,,,,
{water_running_in_sink},,{water_running_in_sink},1,action,,((CAPS)),quality-start or action?,,,,,,,,,,,,,
{water_running},,{water_running},1,action,,((CAPS)),quality-start or action?,,,,,,,,,,,,,
{writing},,{writing},2,action,,((CAPS)),quality-start or action?,,,,,,,,,,,,,
((air_conditioner_fan_begins)),,((air_conditioner_fan_begins)),1,comment,,CAPS,,,,,,,,,,,,,,
((ambient_crowd_noise)),,((ambient_crowd_noise)),1,comment,,CAPS,,,,,,,,,,,,,,
((ambient_noise)),,((ambient_noise)),2,comment,,CAPS,,,,,,,,,,,,,,
((ball_bouncing)),,((ball_bouncing)),1,comment,,CAPS,,,,,,,,,,,,,,
((banging)),,((banging))[:][2:]:,1,comment,,CAPS,,,,[],lag,,,,,,,,,
((banging)),,((banging))[8:][9:],1,comment,,CAPS,,,,[],lag,,,,,,,,,
((blender_rattling)),,((blender_rattling))[:],1,comment,,CAPS,,,,[],lag,,,,,,,,,
((car_doors_and_engine_off)),,((car_doors_and_engine_off)),1,comment,,CAPS,,,,,,,,,,,,,,
((car_start)),,((car_start)),1,comment,,CAPS,,,,,,,,,,,,,,
((chair_creaking)),,((chair_creaking)),1,comment,,CAPS,,,,,,,,,,,,,,
((champagne_cork)),,((champagne_cork)),1,comment,,CAPS,,,,,,,,,,,,,,
((champagne_pouring)),,[((champagne_pouring))],1,comment,,CAPS,,,,[],,,,,,,,,,
((champagne_pouring)),,[2((champagne_pouring))],1,comment,,CAPS,,,,[],,,,,,,,,,
((champagne_pouring)),,[2((champagne_pouring))][3:][4:],1,comment,,CAPS,,,,[],lag,,,,,,,,,
((clap_clap_clap)),,[((clap]_clap_clap)),1,comment,,CAPS,,,,[],,,,,,,,,,
((closet)),,((closet)),1,comment,,CAPS,,,,,,,,,,,,,,
((crowd_and_machine_noise)),,((crowd_and_machine_noise)),4,comment,,CAPS,,,,,,,,,,,,,,
((crowd_noise_and_footsteps)),,((crowd_noise_and_footsteps)),1,comment,,CAPS,,,,,,,,,,,,,,
((crowd_noise)),,((crowd_noise)),2,comment,,CAPS,,,,,,,,,,,,,,
((cupboard_door_and_dishes)),,((cupboard_door_and_dishes)),1,comment,,CAPS,,,,,,,,,,,,,,
((desk_drawer)),,((desk_drawer))[:]:,1,comment,,CAPS,,,,[],lag,,,,,,,,,
((dialing_tones)),,((dialing_tones)),1,comment,,CAPS,,,,,,,,,,,,,,
((dish_noise)),,[2((dish_noise))],1,comment,,CAPS,,,,[],,,,,,,,,,
((dishes)),,[((dishes))],1,comment,,CAPS,,,,[],,,,,,,,,,
((dishwasher_closing)),,((dishwasher_closing)),1,comment,,CAPS,,,,,,,,,,,,,,
((dog_barking_begins),,((dog_barking_begins),1,comment,,CAPS,,,,,,,,,,,,,,
((dog_whining)),,[4((dog_whining))],1,comment,,CAPS,,,,[],,,,,,,,,,
((dog_whining)),,[5((dog_wining))],1,comment,,CAPS,,,,[],,,,,,,,,,
((dog_yelp)),,[((dog_yelp))],1,comment,,CAPS,,,,[],,,,,,,,,,
((dog_yelp)),,[2((dog_yelp))],1,comment,,CAPS,,,,[],,,,,,,,,,
((door_close)),,[((door_close))],1,comment,,CAPS,,,,[],,,,,,,,,,
((door_closes)),,((door_closes)),3,comment,,CAPS,,,,,,,,,,,,,,
((door_closes)),,[((door_closes))],1,comment,,CAPS,,,,[],,,,,,,,,,
((door_closing)),,((door_closing)),2,comment,,CAPS,,,,,,,,,,,,,,
((door_closing)),,((door_closing))[:],1,comment,,CAPS,,,,[],lag,,,,,,,,,
