Token,Lemma,Transcript,Count,Category,Subcategory,Correction,Special,Two_words,End_tone,Overlap,Lag,@word,#word,%word,_word,Other_symbols,Standoff,Name,Stop_List,[POS]
(hx),,[3(hx):,1,vocalism,exhale,CAPS,,,,[,lag,,,,,,,,,
(hx),,[3(hx):],3,vocalism,exhale,CAPS,,,,[],lag,,,,,,,,,
(hx),,[3(hx):].,1,vocalism,exhale,CAPS,,,final,[],lag,,,,,,,,,
(hx),,[3(hx)],5,vocalism,exhale,CAPS,,,,[],,,,,,,,,,
(hx),,[4(hx),2,vocalism,exhale,CAPS,,,,[,,,,,,,,,,
(hx),,[4(hx):],2,vocalism,exhale,CAPS,,,,[],lag,,,,,,,,,
(hx),,[4(hx)],3,vocalism,exhale,CAPS,,,,[],,,,,,,,,,
(hx),,[4(hx)]:,1,vocalism,exhale,CAPS,,,,[],lag,,,,,,,,,
(hx),,[4(hx)].,1,vocalism,exhale,CAPS,,,final,[],,,,,,,,,,
(hx),,[4(hx)][5:],1,vocalism,exhale,CAPS,,,,[],lag,,,,,,,,,
(hx),,[4%(hx)],1,vocalism,exhale,CAPS,,,,[],,,,%word,,,,,,
(hx),,[5(hx),1,vocalism,exhale,CAPS,,,,[,,,,,,,,,,
(hx),,[5(hx):],2,vocalism,exhale,CAPS,,,,[],lag,,,,,,,,,
(hx),,[5(hx)],2,vocalism,exhale,CAPS,,,,[],,,,,,,,,,
(hx),,[6(hx),1,vocalism,exhale,CAPS,,,,[,,,,,,,,,,
(hx),,[6(hx)],1,vocalism,exhale,CAPS,,,,[],,,,,,,,,,
(hx),,[7(hx),2,vocalism,exhale,CAPS,,,,[,,,,,,,,,,
(hx),,[7(hx):],1,vocalism,exhale,CAPS,,,,[],lag,,,,,,,,,
(hx),,[8(hx)]:,1,vocalism,exhale,CAPS,,,,[],lag,,,,,,,,,
(hx),,[9(hx),1,vocalism,exhale,CAPS,,,,[,,,,,,,,,,
(hx),,[9(hx):],1,vocalism,exhale,CAPS,,,,[],lag,,,,,,,,,
(hx),,%(hx),9,vocalism,exhale,CAPS,,,,,,,,%word,,,,,,
(hx),,"%(hx),",1,vocalism,exhale,CAPS,,,continuing,,,,,%word,,,,,,
(hx),,%(hx):],2,vocalism,exhale,CAPS,,,,],lag,,,%word,,,,,,
(hx),,%(hx).,2,vocalism,exhale,CAPS,,,final,,,,,%word,,,,,,
(hx),,%(hx)],2,vocalism,exhale,CAPS,,,,],,,,%word,,,,,,
(hx),,%(hx)5],1,vocalism,exhale,CAPS,,,,],,,,%word,,,,,,
(hx),,+(hx),1,vocalism,exhale,CAPS,,,,,,,,,,+,,,,
(hx),,hx,1,vocalism,exhale,(CAPS),,,,,,,,,,,,,,
(hx) every,,(hx)_every,1,vocalism,exhale,(CAPS),,,,,,,,,,,,,,
(hx)_i,,a(hx)_i,1,vocalism,exhale,(CAPS),[check],second of 2,,,,,,,_word,,,,,
(tsk)(hx),,(tsk)(hx):,1,vocalism,exhale,(CAPS),,,,,lag,,,,,,,,,
t_(hx),,t_(hx),1,vocalism,exhale,(CAPS),[check],,,,,,,,,,,,,
(%),,...%,1,vocalism,glottal,(%) [?],[check],second of 2,,,,,,,,,,,,
(%),,..%,2,vocalism,glottal,(%) [?],[check],second of 2,,,,,,,,,,,,
(%),,(%),641,vocalism,glottal,,,,,,,,,,,,,,,
(%),,[%,25,vocalism,glottal,(%) [?],,,,[,,,,,,,,,,
(%),,[%:,5,vocalism,glottal,(%) [?],,,,[,lag,,,,,,,,,
(%),,[%:],3,vocalism,glottal,(%) [?],,,,[],lag,,,,,,,,,
(%),,[%],21,vocalism,glottal,(%) [?],,,,[],,,,,,,,,,
(%),,[%]:,1,vocalism,glottal,(%) [?],,,,[],lag,,,,,,,,,
(%),,[%].,1,vocalism,glottal,(%) [?],,,final,[],,,,,,,,,,
(%),,[%%],1,vocalism,glottal,(%) [?],,,,[],,,,,,,,,,
(%),,[2%,6,vocalism,glottal,(%) [?],,,,[,,,,,,,,,,
(%),,[2%:,3,vocalism,glottal,(%) [?],,,,[,lag,,,,,,,,,
(%),,[2%::,1,vocalism,glottal,(%) [?],,,,[,lag,,,,,,,,,
(%),,[2%:],3,vocalism,glottal,(%) [?],,,,[],lag,,,,,,,,,
(%),,[2%:].,1,vocalism,glottal,(%) [?],,,final,[],lag,,,,,,,,,
(%),,[2%],3,vocalism,glottal,(%) [?],,,,[],,,,,,,,,,
(%),,[2%%,1,vocalism,glottal,(%) [?],,,,[,,,,,,,,,,
(%),,[3%,6,vocalism,glottal,(%) [?],,,,[,,,,,,,,,,
(%),,[3%:],2,vocalism,glottal,(%) [?],,,,[],lag,,,,,,,,,
(%),,[3%],4,vocalism,glottal,(%) [?],,,,[],,,,,,,,,,
(%),,[3%#,1,vocalism,glottal,(%) [?],,,,[,,,#word,,,,,,,
(%),,[4%:],1,vocalism,glottal,(%) [?],,,,[],lag,,,,,,,,,
(%),,[5%,1,vocalism,glottal,(%) [?],,,,[,,,,,,,,,,
(%),,[5%:,1,vocalism,glottal,(%) [?],,,,[,lag,,,,,,,,,
(%),,[5%:],1,vocalism,glottal,(%) [?],,,,[],lag,,,,,,,,,
(%),,"#(%),",1,vocalism,glottal,(%) [?],,,continuing,,,,#word,,,,,,,
(%),,%,17,vocalism,glottal,(%) [?],,,,,,,,,,,,,,
(%),,"%,",55,vocalism,glottal,(%) [?],,,continuing,,,,,,,,,,,
(%),,%:,101,vocalism,glottal,(%) [?],,,,,lag,,,,,,,,,
(%),,"%:,",5,vocalism,glottal,(%) [?],,,continuing,,lag,,,,,,,,,
(%),,%::,2,vocalism,glottal,(%) [?],,,,,lag,,,,,,,,,
(%),,"%:[:]:,",1,vocalism,glottal,(%) [?],,,continuing,[],lag,,,,,,,,,
(%),,%:],4,vocalism,glottal,(%) [?],,,,],lag,,,,,,,,,
(%),,"%:],",1,vocalism,glottal,(%) [?],,,continuing,],lag,,,,,,,,,
(%),,%:]:,1,vocalism,glottal,(%) [?],,,,],lag,,,,,,,,,
(%),,%?,1,vocalism,glottal,(%) [?],,,appeal,,,,,,,,,,,
(%),,%.,9,vocalism,glottal,(%) [?],,,final,,,,,,,,,,,
(%),,%],34,vocalism,glottal,(%) [?],,,,],,,,,,,,,,
(%),,"%],",2,vocalism,glottal,(%) [?],,,continuing,],,,,,,,,,,
(%),,%].,2,vocalism,glottal,(%) [?],,,final,],,,,,,,,,,
(%),,%#.,1,vocalism,glottal,(%) [?],,,final,,,,#word,,,,,,,
(%),,%%,13,vocalism,glottal,(%) [?],,,,,,,,,,,,,,
(%),,"%%,",1,vocalism,glottal,(%) [?],,,continuing,,,,,,,,,,,
(%),,%%],1,vocalism,glottal,(%) [?],,,,],,,,,,,,,,
(%),,"%%%,",1,vocalism,glottal,(%) [?],,,continuing,,,,,,,,,,,
(%),,%2],1,vocalism,glottal,(%) [?],,,,],,,,,,,,,,
(%),,%3],1,vocalism,glottal,(%) [?],,,,],,,,,,,,,,
(laughter_and_agreement),,(laughter_and_agreement),1,vocalism,laughter,(CAPS),,,,,,,,,,,,,,
(laughter_cheers_applause),,[(laughter_cheers_applause)]:[2:]:,1,vocalism,laughter,(CAPS),,,,[],lag,,,,,,,,,
p_,,p_,2,vocalism,pre-phonation,,,,,,,,,,,,,,,
p_,,p_],1,vocalism,pre-phonation,,,,,],,,,,,,,,,
((imitating_baby_breathing)),,((imitating_baby_breathing))[2:],1,vocalism,,(CAPS),,,,[],lag,,,,,,,,,
((imitating_baby_breathing)),,[((imitating_baby_breathing))]:,1,vocalism,,(CAPS),,,,[],lag,,,,,,,,,
((imitating_baby_crying)),,[2((imitating_baby_crying))][3:][4:],1,vocalism,,(CAPS),,,,[],lag,,,,,,,,,
((imitating_baby_crying)),,[9((imitating_baby_crying))]:,1,vocalism,,(CAPS),,,,[],lag,,,,,,,,,
((imitating_spray_noise)),,((imitating_spray_noise)),1,vocalism,,(CAPS),,,,,,,,,,,,,,
((lip_smacks_calling_dog)),,[2((lip_smacks_calling_dog))],1,vocalism,,(CAPS),,,,[],,,,,,,,,,
((murmur)),,((murmur)),10,vocalism,,(CAPS),,,,,,,,,,,,,,
((murmur)),,((murmur))[:],3,vocalism,,(CAPS),,,,[],lag,,,,,,,,,
((murmur)),,[((murmur))],2,vocalism,,(CAPS),,,,[],,,,,,,,,,
((murmur)),,[6((murmur))]:[7:]:[8:],1,vocalism,,(CAPS),,,,[],lag,,,,,,,,,
((murmur))_agreement,,[((murmur))_agreement],1,vocalism,,(CAPS),,,,[],,,,,,,,,,
((murmurs_and_applause)),,[((murmurs_and_applause))]:,1,vocalism,,(CAPS),,,,[],lag,,,,,,,,,
(ahem),,(ahem),107,vocalism,,CAPS,,,,,,,,,,,,,,
(ahem),,(ahem)_and,1,vocalism,,CAPS,[check],first of 2,,,,,,,,,,,,
(ahem),,(ahem):,1,vocalism,,CAPS,,,,,lag,,,,,,,,,
(ahem),,(ahem):],1,vocalism,,CAPS,,,,],lag,,,,,,,,,
(ahem),,(ahem)(sniff),1,vocalism,,CAPS,[check],first of 2,,,,,,,,,,,,
(ahem),,(ahem)[:],3,vocalism,,CAPS,,,,[],lag,,,,,,,,,
(ahem),,(ahem)[:].,1,vocalism,,CAPS,,,final,[],lag,,,,,,,,,
(ahem),,(ahem)[5:],1,vocalism,,CAPS,,,,[],lag,,,,,,,,,
(ahem),,(ahem)],12,vocalism,,CAPS,,,,],,,,,,,,,,
(ahem),,(ahem)]:,1,vocalism,,CAPS,,,,],lag,,,,,,,,,
(ahem),,(ahem)].,1,vocalism,,CAPS,,,final,],,,,,,,,,,
(ahem),,(ahem)2],1,vocalism,,CAPS,,,,],,,,,,,,,,
(ahem),,[(ahem),4,vocalism,,CAPS,,,,[,,,,,,,,,,
(ahem),,[(ahem):],2,vocalism,,CAPS,,,,[],lag,,,,,,,,,
(ahem),,[(ahem)],91,vocalism,,CAPS,,,,[],,,,,,,,,,
(ahem),,[(ahem)]:,3,vocalism,,CAPS,,,,[],lag,,,,,,,,,
(ahem),,[2(ahem),1,vocalism,,CAPS,,,,[,,,,,,,,,,
(ahem),,[2(ahem)],23,vocalism,,CAPS,,,,[],,,,,,,,,,
(ahem),,[2(ahem)]:,2,vocalism,,CAPS,,,,[],lag,,,,,,,,,
(ahem),,[3(ahem),1,vocalism,,CAPS,,,,[,,,,,,,,,,
(ahem),,[3(ahem):],1,vocalism,,CAPS,,,,[],lag,,,,,,,,,
(ahem),,[3(ahem)],9,vocalism,,CAPS,,,,[],,,,,,,,,,
(ahem),,[3(ahem)]:,2,vocalism,,CAPS,,,,[],lag,,,,,,,,,
(ahem),,[4(ahem),1,vocalism,,CAPS,,,,[,,,,,,,,,,
(ahem),,[4(ahem)],10,vocalism,,CAPS,,,,[],,,,,,,,,,
(ahem),,[4(ahem)][5:],1,vocalism,,CAPS,,,,[],lag,,,,,,,,,
(ahem),,[5(ahem)],7,vocalism,,CAPS,,,,[],,,,,,,,,,
(ahem),,[6(ahem),2,vocalism,,CAPS,,,,[,,,,,,,,,,
(ahem),,[6(ahem)],2,vocalism,,CAPS,,,,[],,,,,,,,,,
(ahem),,[9(ahem),1,vocalism,,CAPS,,,,[,,,,,,,,,,
(amens_cheers_applause),,(amens_[cheers]_applause):,1,vocalism,,CAPS,,,,[],lag,,,,,,,,,
(bbbb),,(bbbb):,2,vocalism,,CAPS,,,,,lag,,,,,,,,,
(bbbb),,(bbbb)[:][2:],1,vocalism,,CAPS,,,,[],lag,,,,,,,,,
(belch),,(belch),1,vocalism,,CAPS,,,,,,,,,,,,,,
(blow),,(blow),4,vocalism,,CAPS,,,,,,,,,,,,,,
(blow),,[2(blow)],1,vocalism,,CAPS,,,,[],,,,,,,,,,
(blow),,[3(blow),1,vocalism,,CAPS,,,,[,,,,,,,,,,
(blow),,[5(blow):],1,vocalism,,CAPS,,,,[],lag,,,,,,,,,
(blows_nose),,[(blows_nose)],1,vocalism,,CAPS,,,,[],,,,,,,,,,
(breathing),,[3(breathing)][4:][5:],2,vocalism,,CAPS,,,,[],lag,,,,,,,,,
(burp),,(burp),3,vocalism,,CAPS,,,,,,,,,,,,,,
(buzz),,(buzz):,1,vocalism,,CAPS,,,,,lag,,,,,,,,,
(buzz),,(buzz).,1,vocalism,,CAPS,,,final,,,,,,,,,,,
(buzz),,"(buzz)[3:,",1,vocalism,,CAPS,,,continuing,[,lag,,,,,,,,,
(ch),,(ch),2,vocalism,,CAPS,,,,,,,,,,,,,,
(cheers_whistles_applause),,(cheers_whistles_applause)[5:]:,1,vocalism,,CAPS,,,,[],lag,,,,,,,,,
(choke),,(choke),1,vocalism,,CAPS,,,,,,,,,,,,,,
(choke),,(choke):,2,vocalism,,CAPS,,,,,lag,,,,,,,,,
(click_click_click_click),,(click_click_click_click),1,vocalism,,CAPS,,,,,,,,,,,,,,
(click),,(click),3,vocalism,,CAPS,,,,,,,,,,,,,,
(cough,,(cough,6,vocalism,,CAPS,[check],,,,,,,,,,,,,
(cough,,[(cough,5,vocalism,,CAPS,[check],,,[,,,,,,,,,,
(cough,,[3(cough,1,vocalism,,CAPS,[check],,,[,,,,,,,,,,
(cough),,(cough),122,vocalism,,CAPS,,,,,,,,,,,,,,
(cough),,(cough)[:,1,vocalism,,CAPS,,,,[,lag,,,,,,,,,
(cough),,(cough)[:],2,vocalism,,CAPS,,,,[],lag,,,,,,,,,
(cough),,(cough)],35,vocalism,,CAPS,,,,],,,,,,,,,,
(cough),,(cough)][2:,1,vocalism,,CAPS,,,,][,lag,,,,,,,,,
(cough),,[(cough),18,vocalism,,CAPS,,,,[,,,,,,,,,,
(cough),,[(cough):],2,vocalism,,CAPS,,,,[],lag,,,,,,,,,
(cough),,[(cough)],37,vocalism,,CAPS,,,,[],,,,,,,,,,
(cough),,[(cough)]:,1,vocalism,,CAPS,,,,[],lag,,,,,,,,,
(cough),,[2(cough),6,vocalism,,CAPS,,,,[,,,,,,,,,,
(cough),,[2(cough)],13,vocalism,,CAPS,,,,[],,,,,,,,,,
(cough),,[2(cough)]:,1,vocalism,,CAPS,,,,[],lag,,,,,,,,,
(cough),,[2(cough)][3:],1,vocalism,,CAPS,,,,[],lag,,,,,,,,,
(cough),,[3(cough),2,vocalism,,CAPS,,,,[,,,,,,,,,,
(cough),,[3(cough)],5,vocalism,,CAPS,,,,[],,,,,,,,,,
(cough),,[4(cough),2,vocalism,,CAPS,,,,[,,,,,,,,,,
(cough),,[4(cough)],1,vocalism,,CAPS,,,,[],,,,,,,,,,
(cough),,[5(cough)],1,vocalism,,CAPS,,,,[],,,,,,,,,,
(cough),,[6(cough),3,vocalism,,CAPS,,,,[,,,,,,,,,,
(cough),,[6(cough)],2,vocalism,,CAPS,,,,[],,,,,,,,,,
(cough),,[7(cough)],2,vocalism,,CAPS,,,,[],,,,,,,,,,
(cough),,[8(cough)],1,vocalism,,CAPS,,,,[],,,,,,,,,,
(cough),,[9(cough),1,vocalism,,CAPS,,,,[,,,,,,,,,,
(cough),,[9(cough)],1,vocalism,,CAPS,,,,[],,,,,,,,,,
(cry),,(cry),2,vocalism,,CAPS,,,,,,,,,,,,,,
(crying),,(crying)[2:],1,vocalism,,CAPS,,,,[],lag,,,,,,,,,
(crying),,[(crying)][2:][3:],1,vocalism,,CAPS,,,,[],lag,,,,,,,,,
(crying),,[(crying)][2:][3:][4:]:,1,vocalism,,CAPS,,,,[],lag,,,,,,,,,
(crying),,[3(crying)][4:][5:],1,vocalism,,CAPS,,,,[],lag,,,,,,,,,
(explode),,(explode):.,1,vocalism,,CAPS,,,final,,lag,,,,,,,,,
(gasp),,(gasp),17,vocalism,,CAPS,,,,,,,,,,,,,,
(gasp),,"(gasp),",1,vocalism,,CAPS,,,continuing,,,,,,,,,,,
(gasp),,(gasp):,5,vocalism,,CAPS,,,,,lag,,,,,,,,,
(gasp),,"(gasp):,",1,vocalism,,CAPS,,,continuing,,lag,,,,,,,,,
(gasp),,(gasp)[:],1,vocalism,,CAPS,,,,[],lag,,,,,,,,,
(gasp),,(gasp)[4:],1,vocalism,,CAPS,,,,[],lag,,,,,,,,,
(gasp),,[(gasp):,1,vocalism,,CAPS,,,,[,lag,,,,,,,,,
(gasp),,[(gasp):],1,vocalism,,CAPS,,,,[],lag,,,,,,,,,
(gasp),,[(gasp)],8,vocalism,,CAPS,,,,[],,,,,,,,,,
(gasp),,[2(gasp).,1,vocalism,,CAPS,,,final,[,,,,,,,,,,
(gasp),,[2(gasp)],2,vocalism,,CAPS,,,,[],,,,,,,,,,
(gasp),,[4(gasp)],1,vocalism,,CAPS,,,,[],,,,,,,,,,
(groan),,(groan),5,vocalism,,CAPS,,,,,,,,,,,,,,
(groan),,(groan):,1,vocalism,,CAPS,,,,,lag,,,,,,,,,
(groan),,(groan)[:],1,vocalism,,CAPS,,,,[],lag,,,,,,,,,
(groan),,[(groan)],1,vocalism,,CAPS,,,,[],,,,,,,,,,
(growl),,(growl),1,vocalism,,CAPS,,,,,,,,,,,,,,
(grunt),,(grunt),10,vocalism,,CAPS,,,,,,,,,,,,,,
(grunt),,[(grunt)],3,vocalism,,CAPS,,,,[],,,,,,,,,,
(grunt),,"[(grunt)],",1,vocalism,,CAPS,,,continuing,[],,,,,,,,,,
(gulp),,(gulp),50,vocalism,,CAPS,,,,,,,,,,,,,,
(gulp),,[(gulp),1,vocalism,,CAPS,,,,[,,,,,,,,,,
(gulp),,[(gulp)],11,vocalism,,CAPS,,,,[],,,,,,,,,,
(gulp),,[2(gulp)],2,vocalism,,CAPS,,,,[],,,,,,,,,,
(gulp),,[3(gulp)],1,vocalism,,CAPS,,,,[],,,,,,,,,,
(gulp),,[4(gulp)],2,vocalism,,CAPS,,,,[],,,,,,,,,,
(hiccup),,(hiccup),3,vocalism,,CAPS,,,,,,,,,,,,,,
(hiccup),,"[(hiccup)],",1,vocalism,,CAPS,,,continuing,[],,,,,,,,,,
(hiccup),,[2(hiccup)],1,vocalism,,CAPS,,,,[],,,,,,,,,,
(hiss),,[(hiss)][2:],1,vocalism,,CAPS,,,,[],lag,,,,,,,,,
(howl),,[(howl):].,1,vocalism,,CAPS,,,final,[],lag,,,,,,,,,
(howl),,[8(howl)],1,vocalism,,CAPS,,,,[],,,,,,,,,,
(humming),,(humming),10,vocalism,,CAPS,,,,,,,,,,,,,,
(humming),,(humming)[:],1,vocalism,,CAPS,,,,[],lag,,,,,,,,,
(humming),,[(humming)],1,vocalism,,CAPS,,,,[],,,,,,,,,,
(humming),,[(humming)]:[2:],1,vocalism,,CAPS,,,,[],lag,,,,,,,,,
(lateral_click),,(lateral_click),2,vocalism,,CAPS,,,,,,,,,,,,,,
(lips),,(lips),1,vocalism,,CAPS,,,,,,,,,,,,,,
(murmur_agreement),,(murmur_agreement),14,vocalism,,CAPS,,,,,,,,,,,,,,
(murmur_agreement),,(murmur_agreement):,1,vocalism,,CAPS,,,,,lag,,,,,,,,,
(murmur_agreement),,(murmur_agreement)[:],2,vocalism,,CAPS,,,,[],lag,,,,,,,,,
(murmur_agreement),,[(murmur_agreement)],1,vocalism,,CAPS,,,,[],,,,,,,,,,
(murmur_agreement),,[3(murmur_agreement)],1,vocalism,,CAPS,,,,[],,,,,,,,,,
(murmur_amen),,(murmur_amen),2,vocalism,,CAPS,,,,,,,,,,,,,,
(murmur_laughter_throat),,(murmur_laughter_throat),1,vocalism,,CAPS,,,,,,,,,,,,,,
(nose-blow),,(nose-blow),3,vocalism,,CAPS,,,,,,,,,,,,,,
(pfew),,(pfew),1,vocalism,,CAPS,,,,,,,,,,,,,,
(pfew),,(pfew).,1,vocalism,,CAPS,,,final,,,,,,,,,,,
(pff),,(pff),2,vocalism,,CAPS,,,,,,,,,,,,,,
(pff),,(pff):],1,vocalism,,CAPS,,,,],lag,,,,,,,,,
(pow),,(pow).,3,vocalism,,CAPS,,,final,,,,,,,,,,,
(pow),,[4(pow)],1,vocalism,,CAPS,,,,[],,,,,,,,,,
(psh),,(psh):,1,vocalism,,CAPS,,,,,lag,,,,,,,,,
(roar),,"(roar):,",1,vocalism,,CAPS,,,continuing,,lag,,,,,,,,,
(scream),,(scream),2,vocalism,,CAPS,,,,,,,,,,,,,,
(scream),,(scream)[4:,1,vocalism,,CAPS,,,,[,lag,,,,,,,,,
(screeching),,[4(screeching)],1,vocalism,,CAPS,,,,[],,,,,,,,,,
(sh),,(sh:),1,vocalism,,CAPS,,,,,lag,,,,,,,,,
(sigh),,(sigh),15,vocalism,,CAPS,,,,,,,,,,,,,,
(sigh),,(sigh):,6,vocalism,,CAPS,,,,,lag,,,,,,,,,
(sigh),,(sigh).,1,vocalism,,CAPS,,,final,,,,,,,,,,,
(sigh),,(sigh)[:],3,vocalism,,CAPS,,,,[],lag,,,,,,,,,
(sigh),,(sigh)[:][2:],1,vocalism,,CAPS,,,,[],lag,,,,,,,,,
(sigh),,(sigh)[2:],1,vocalism,,CAPS,,,,[],lag,,,,,,,,,
(sigh),,(sigh)[3::],1,vocalism,,CAPS,,,,[],lag,,,,,,,,,
(sigh),,(sigh)[4::],1,vocalism,,CAPS,,,,[],lag,,,,,,,,,
(sigh),,[(sigh):],2,vocalism,,CAPS,,,,[],lag,,,,,,,,,
(sigh),,[(sigh)],6,vocalism,,CAPS,,,,[],,,,,,,,,,
(sigh),,[(sigh)]:,3,vocalism,,CAPS,,,,[],lag,,,,,,,,,
(sigh),,[4(sigh)],1,vocalism,,CAPS,,,,[],,,,,,,,,,
(sighs),,[(sighs)],1,vocalism,,CAPS,,,,[],,,,,,,,,,
(slurp),,(slurp),2,vocalism,,CAPS,,,,,,,,,,,,,,
(slurp),,(slurp):[3:],1,vocalism,,CAPS,,,,[],lag,,,,,,,,,
(slurp),,[(slurp)]:,1,vocalism,,CAPS,,,,[],lag,,,,,,,,,
(slurp),,[6(slurp)],1,vocalism,,CAPS,,,,[],,,,,,,,,,
(sneeze),,(sneeze),2,vocalism,,CAPS,,,,,,,,,,,,,,
(sneeze),,[(sneeze)],7,vocalism,,CAPS,,,,[],,,,,,,,,,
(sneeze),,[\(sneeze\)],1,vocalism,,CAPS,,,,[],,,,,,,,,,
(sneeze),,[2(sneeze)],2,vocalism,,CAPS,,,,[],,,,,,,,,,
(sniff,,(sniff,1,vocalism,,CAPS,,,,,,,,,,,,,,
(sniff,,[2(sniff],1,vocalism,,CAPS,,,,[],,,,,,,,,,
(sniff),,(ahem)(sniff),1,vocalism,,CAPS,[check],second of 2,,,,,,,,,,,,
(sniff),,(sniff),199,vocalism,,CAPS,,,,,,,,,,,,,,
(sniff),,(sniff):,5,vocalism,,CAPS,,,,,lag,,,,,,,,,
(sniff),,(sniff):[:,1,vocalism,,CAPS,,,,[,lag,,,,,,,,,
(sniff),,(sniff)[:],3,vocalism,,CAPS,,,,[],lag,,,,,,,,,
(sniff),,(sniff)[3:],1,vocalism,,CAPS,,,,[],lag,,,,,,,,,
(sniff),,(sniff)],11,vocalism,,CAPS,,,,],,,,,,,,,,
(sniff),,(sniff)]:,1,vocalism,,CAPS,,,,],lag,,,,,,,,,
(sniff),,(sniff)].,1,vocalism,,CAPS,,,final,],,,,,,,,,,
(sniff),,(sniff)2],1,vocalism,,CAPS,,,,],,,,,,,,,,
(sniff),,(sniff)2]?,1,vocalism,,CAPS,,,appeal,],,,,,,,,,,
(sniff),,(sniff)4],3,vocalism,,CAPS,,,,],,,,,,,,,,
(sniff),,[(sniff),5,vocalism,,CAPS,,,,[,,,,,,,,,,
(sniff),,[(sniff):],3,vocalism,,CAPS,,,,[],lag,,,,,,,,,
(sniff),,[(sniff):]:,1,vocalism,,CAPS,,,,[],lag,,,,,,,,,
(sniff),,[(sniff)],74,vocalism,,CAPS,,,,[],,,,,,,,,,
(sniff),,[(sniff)]:,2,vocalism,,CAPS,,,,[],lag,,,,,,,,,
(sniff),,[2(sniff),1,vocalism,,CAPS,,,,[,,,,,,,,,,
(sniff),,[2(sniff)],28,vocalism,,CAPS,,,,[],,,,,,,,,,
(sniff),,[2(sniff)][3:],1,vocalism,,CAPS,,,,[],lag,,,,,,,,,
(sniff),,[3(sniff),1,vocalism,,CAPS,,,,[,,,,,,,,,,
(sniff),,[3(sniff)],11,vocalism,,CAPS,,,,[],,,,,,,,,,
(sniff),,[3(sniff)][4:],1,vocalism,,CAPS,,,,[],lag,,,,,,,,,
(sniff),,[4(sniff)],1,vocalism,,CAPS,,,,[],,,,,,,,,,
(sniff),,[5(sniff)],2,vocalism,,CAPS,,,,[],,,,,,,,,,
(sniff),,[6(sniff),1,vocalism,,CAPS,,,,[,,,,,,,,,,
(sniff),,[6(sniff)],1,vocalism,,CAPS,,,,[],,,,,,,,,,
(sniff),,[7(sniff)],2,vocalism,,CAPS,,,,[],,,,,,,,,,
(sniff),,[8(sniff)],1,vocalism,,CAPS,,,,[],,,,,,,,,,
(sniffle),,(sniffle),2,vocalism,,CAPS,,,,,,,,,,,,,,
(snore),,(snore)]:,1,vocalism,,CAPS,,,,],lag,,,,,,,,,
(snore),,[(snore),1,vocalism,,CAPS,,,,[,,,,,,,,,,
(snort),,(snort),8,vocalism,,CAPS,,,,,,,,,,,,,,
(snort),,(snort)[:],1,vocalism,,CAPS,,,,[],lag,,,,,,,,,
(snort),,[(snort)],2,vocalism,,CAPS,,,,[],,,,,,,,,,
(sob),,(sob),2,vocalism,,CAPS,,,,,,,,,,,,,,
(sob),,[(sob)],1,vocalism,,CAPS,,,,[],,,,,,,,,,
(squeal),,[3(squeal)],1,vocalism,,CAPS,,,,[],,,,,,,,,,
(stifled_sneeze),,(stifled_sneeze),1,vocalism,,CAPS,,,,,,,,,,,,,,
(stretch),,(stretch)[:,1,vocalism,,CAPS,,,,[,lag,,,,,,,,,
(throat),,(thr[oat)],1,vocalism,,CAPS,,,,[],,,,,,,,,,
(throat),,(throat),1,vocalism,,CAPS,,,,,,,,,,,,,,
(ts_ss_ss),,(ts_ss_ss),1,vocalism,,CAPS,,,,,,,,,,,,,,
(ts),,(ts,1,vocalism,,CAPS,,,,,,,,,,,,,,
(ts),,(ts):,1,vocalism,,CAPS,,,,,lag,,,,,,,,,
(ts),,[(ts):],2,vocalism,,CAPS,,,,[],lag,,,,,,,,,
(tsch),,"(tsch)3],",1,vocalism,,CAPS,,,continuing,],,,,,,,,,,
(tsk,,(tsk,1,vocalism,,CAPS,,,,,,,,,,,,,,
(tsk),,...(tsk),4,vocalism,,CAPS,[check],second of 2,,,,,,,,,,,,
(tsk),,(tsk),807,vocalism,,CAPS,,,,,,,,,,,,,,
(tsk),,"(tsk),",1,vocalism,,CAPS,,,continuing,,,,,,,,,,,
(tsk),,(tsk)],5,vocalism,,CAPS,,,,],,,,,,,,,,
(tsk),,"(tsk)],",1,vocalism,,CAPS,,,continuing,],,,,,,,,,,
(tsk),,(tsk)].,1,vocalism,,CAPS,,,final,],,,,,,,,,,
(tsk),,(tsk)it's,1,vocalism,,CAPS,[check],first of 2,,,,,,,,,,,,
(tsk),,[(tsk),102,vocalism,,CAPS,,,,[,,,,,,,,,,
(tsk),,[(tsk)_well],1,vocalism,,CAPS,[check],first of 2,,[,,,,,,,,,,
(tsk),,[(tsk)],28,vocalism,,CAPS,,,,[],,,,,,,,,,
(tsk),,[2(tsk),19,vocalism,,CAPS,,,,[,,,,,,,,,,
(tsk),,[2(tsk)],12,vocalism,,CAPS,,,,[],,,,,,,,,,
(tsk),,[3(tsk),7,vocalism,,CAPS,,,,[,,,,,,,,,,
(tsk),,[3(tsk)],2,vocalism,,CAPS,,,,[],,,,,,,,,,
(tsk),,[4(tsk),5,vocalism,,CAPS,,,,[,,,,,,,,,,
(tsk),,[4(tsk)],1,vocalism,,CAPS,,,,[],,,,,,,,,,
(tsk),,[5(tsk),1,vocalism,,CAPS,,,,[,,,,,,,,,,
